,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.75,0.96,0.9,1.18,1.04,1.01,1.18,1.5,1.0,0.99,0.9,0.97,1.16,1.69,1.09
f_1,1.34,1.0,1.04,1.04,1.01,0.87,0.81,1.01,0.84,0.9,1.29,1.02,0.89,0.82,0.82,0.92
c_1,1.04,0.96,1.0,1.07,1.25,0.91,1.05,0.97,0.68,0.77,1.05,0.89,1.16,1.13,0.91,0.92
d_1,1.11,0.97,0.94,1.0,0.93,1.07,1.11,0.83,0.97,1.23,1.18,1.03,1.12,0.91,0.94,0.83
b_1,0.85,0.99,0.8,1.08,1.0,1.32,1.09,1.06,1.04,1.09,1.05,1.34,0.84,1.06,0.93,1.32
a_1,0.96,1.15,1.1,0.93,0.76,1.0,1.14,0.99,1.0,1.17,0.88,1.07,0.68,1.12,1.21,0.83
h_1,0.96,1.25,0.96,0.94,0.95,0.85,1.0,1.22,1.03,1.0,0.81,0.97,0.96,0.95,0.92,1.03
g_1,0.86,0.98,1.07,1.22,0.91,0.98,0.83,1.0,0.98,0.97,1.21,0.93,0.9,0.9,1.04,1.22
d_0,0.64,1.25,1.51,0.95,0.92,0.96,0.98,1.02,1.0,0.96,0.87,1.03,1.05,1.03,0.93,1.37
c_0,1.03,1.22,1.19,0.78,0.92,0.84,0.98,1.03,0.96,1.0,0.93,1.44,0.97,1.03,0.9,1.29
f_0,0.95,0.8,1.11,0.91,0.89,1.1,1.24,0.8,1.11,0.96,1.0,1.13,1.1,1.12,1.5,0.9
b_0,1.13,1.03,1.21,1.0,0.72,0.84,0.98,1.06,0.94,0.67,0.93,1.0,1.4,0.99,0.96,0.99
a_0,1.03,1.07,0.88,0.94,1.13,,0.98,1.15,0.99,0.96,0.9,0.74,1.0,0.92,1.22,1.0
h_0,0.86,1.26,0.89,1.11,0.95,0.83,1.0,1.12,0.96,0.97,0.88,1.0,1.06,1.0,0.92,1.14
e_0,0.65,1.34,1.01,1.06,1.0,0.89,1.02,0.97,0.99,1.06,0.69,1.1,0.76,1.14,1.01,0.85
g_0,0.92,1.1,1.07,1.16,0.73,1.16,0.96,0.89,0.81,0.82,1.14,0.94,0.92,0.84,1.22,1.0
