,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.45,2.6,3.82,3.94,5.03,5.17,1.12,1.52,0.92,0.97,0.75,0.88,0.88,0.65,6.3,0.69
f_1,4.76,0.44,4.32,4.52,4.46,3.44,0.84,1.42,0.75,0.83,5.46,0.85,0.82,0.39,0.77,0.53
c_1,4.44,4.19,0.42,5.74,4.4,3.94,1.31,1.27,0.51,2.35,0.95,0.84,1.11,0.72,0.89,0.56
d_1,5.29,4.49,5.13,0.41,4.33,5.28,1.48,0.69,4.31,0.8,1.11,0.75,0.91,0.57,0.81,0.43
b_1,4.02,4.75,2.94,5.14,0.41,4.59,1.47,1.7,0.95,1.09,0.99,5.52,1.03,0.81,0.85,0.95
a_1,6.83,6.44,6.39,6.04,3.43,0.32,1.78,1.97,1.34,1.49,1.11,1.58,4.08,1.05,1.19,0.92
h_1,4.61,5.37,4.56,4.71,5.05,4.13,0.36,1.61,1.23,1.03,0.9,0.91,1.03,2.42,0.83,0.67
g_1,5.2,6.52,6.1,4.42,6.15,6.14,1.22,0.33,1.49,0.96,1.09,0.89,1.07,0.71,1.12,3.02
d_0,2.5,6.69,6.55,17.41,4.85,5.55,1.72,1.89,0.45,1.32,1.1,1.68,1.54,0.81,1.3,1.2
c_0,7.03,7.51,18.32,3.25,6.0,5.15,1.8,1.52,1.57,0.41,1.03,1.26,0.99,0.83,0.92,1.39
f_0,5.11,16.09,6.84,6.13,5.53,6.88,2.38,1.09,1.49,1.06,0.38,1.24,0.99,1.02,1.26,0.61
b_0,7.71,6.26,7.52,4.81,13.46,6.65,1.56,1.57,1.6,0.56,1.07,0.38,1.44,1.01,1.09,0.9
a_0,7.25,7.18,6.28,5.47,9.52,,1.92,2.28,1.88,1.11,0.93,0.8,0.35,0.74,1.65,0.97
h_0,5.85,7.09,7.03,7.35,7.94,7.06,6.58,2.22,1.63,1.3,1.39,1.77,1.33,2.79,1.45,1.12
e_0,13.73,10.37,7.97,6.95,7.07,5.5,1.85,1.95,2.02,1.33,0.72,1.82,1.25,1.25,0.34,0.87
g_0,7.29,8.61,8.05,6.97,6.71,12.28,1.97,5.82,1.52,1.55,1.53,1.63,1.44,0.94,2.01,2.79
