,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.39,1.13,0.63,0.65,0.6,0.43,0.81,0.88,0.9,0.89,0.91,0.35,0.93,0.87,0.7,0.79
e_1,0.8,2.51,0.54,0.69,0.64,0.66,0.92,1.62,0.81,0.79,1.15,0.92,1.09,0.9,0.63,0.92
d_1,0.68,0.67,2.92,0.52,0.65,0.55,0.84,0.48,1.91,0.92,1.04,1.24,1.04,1.21,1.01,1.1
c_1,0.6,0.58,0.67,2.87,1.23,0.66,0.81,0.8,0.34,0.74,0.68,0.87,0.86,0.96,0.99,0.89
b_1,0.58,0.66,0.54,0.69,3.05,1.27,1.05,0.93,0.79,0.84,0.49,1.12,0.99,0.57,0.9,1.05
a_1,0.67,0.63,0.85,0.7,0.51,4.44,0.93,0.9,0.83,1.11,0.78,0.99,0.93,0.46,1.15,0.89
h_1,1.16,0.59,0.92,0.79,0.64,0.67,2.7,1.05,1.03,1.46,1.14,1.03,0.57,1.3,1.21,1.48
d_0,0.83,0.61,0.45,1.64,0.76,0.76,1.28,1.99,0.87,1.17,1.04,1.18,1.25,1.16,1.15,1.05
c_0,0.93,0.87,0.83,0.67,0.51,0.73,1.15,0.93,2.23,1.15,2.39,1.14,1.2,1.75,1.28,1.26
g_1,0.66,0.71,1.41,0.87,0.69,0.56,1.0,1.06,0.97,3.39,1.21,1.93,1.19,0.91,1.25,0.79
b_0,0.95,0.68,0.99,0.95,0.38,0.67,1.15,1.36,1.17,1.05,2.46,1.05,1.26,2.59,1.22,1.08
f_0,0.57,0.49,1.01,0.96,0.82,0.7,1.4,0.99,1.38,1.19,1.28,2.88,1.24,1.31,2.72,1.48
h_0,1.19,0.76,0.86,0.72,0.71,0.89,0.52,0.96,0.96,1.51,1.13,1.09,0.71,0.81,1.07,1.47
a_0,1.0,0.72,0.93,0.87,0.7,0.32,1.35,1.16,1.29,1.21,1.33,1.17,1.28,3.11,1.08,1.29
e_0,0.83,0.42,0.96,0.94,0.8,0.86,1.49,0.99,1.25,1.11,1.38,0.95,1.24,1.17,3.22,1.54
g_0,0.78,0.57,1.43,0.72,0.57,0.87,1.12,0.78,1.13,0.79,1.51,1.8,1.18,1.11,1.38,0.86
