,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.32,0.41,0.26,0.32,0.28,0.21,0.46,0.68,0.52,0.68,0.67,,0.71,0.75,0.51,0.64
e_1,0.24,2.4,0.25,0.22,0.3,0.3,0.55,0.97,0.52,0.4,0.77,0.57,0.91,0.48,,0.86
d_1,0.3,0.32,2.58,0.22,0.33,0.2,0.5,,0.97,0.41,0.57,0.63,0.81,0.71,0.55,0.81
c_1,0.24,0.3,0.33,2.58,0.39,0.27,0.39,0.52,,0.6,0.61,0.69,0.78,0.76,0.74,0.78
b_1,0.26,0.31,0.22,0.29,2.65,0.41,0.65,0.75,0.6,0.44,,0.6,0.8,0.43,0.45,0.93
a_1,0.28,0.27,0.36,0.28,0.22,3.26,0.53,0.64,0.59,0.61,,0.76,0.77,,0.82,0.63
h_1,0.73,0.45,0.42,0.7,0.51,0.53,3.82,1.0,1.28,1.31,1.04,1.07,,1.15,1.03,2.05
d_0,0.64,0.48,,1.04,0.54,0.58,1.38,3.48,1.56,1.1,1.14,1.37,2.1,1.29,1.47,1.4
c_0,0.68,0.75,0.47,,0.56,0.68,1.09,1.1,3.57,1.19,2.13,1.64,1.73,1.41,1.04,1.6
g_1,0.39,0.62,0.93,0.56,0.56,0.42,0.94,1.05,1.14,4.33,1.32,1.59,1.17,0.98,0.99,
b_0,0.59,0.54,0.74,0.63,,,1.45,1.68,1.33,0.98,3.71,1.29,1.63,2.15,1.45,1.45
f_0,,0.52,0.66,0.54,0.66,0.52,1.41,1.31,1.55,1.21,1.22,4.0,1.79,,2.67,1.65
h_0,1.09,0.68,0.72,0.6,0.8,0.84,,1.65,1.52,1.87,1.57,1.73,,1.1,2.05,2.5
a_0,0.53,0.66,0.66,0.55,0.66,,1.59,1.43,1.54,1.39,1.11,,2.19,4.55,,
e_0,0.57,,0.59,0.51,0.74,0.61,1.73,1.54,1.48,1.53,1.61,0.98,1.49,,4.78,1.63
g_0,0.88,0.51,0.92,0.75,0.56,0.91,1.45,1.48,1.67,,2.03,2.45,1.98,,1.98,
