,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.33,1.73,1.13,1.13,0.95,0.97,2.06,2.1,2.31,2.11,2.1,1.37,2.61,2.14,1.63,2.98
e_1,1.05,2.37,0.98,1.41,1.2,1.06,2.25,1.7,2.41,4.25,2.46,2.73,3.31,2.95,2.02,3.66
d_1,1.16,1.15,2.56,1.0,1.07,1.24,2.4,2.15,3.82,1.5,2.72,2.65,2.89,2.32,2.18,2.85
c_1,1.15,0.93,1.22,2.62,1.74,1.11,1.88,2.15,1.3,1.99,2.1,2.65,3.15,2.31,2.88,2.59
b_1,1.22,1.01,1.11,1.1,2.76,1.79,1.93,2.24,2.51,2.26,1.77,2.4,3.09,2.01,2.53,2.82
a_1,1.28,1.02,1.13,1.11,1.0,3.33,2.68,2.58,2.65,2.91,3.18,2.32,3.15,2.33,2.52,3.48
h_1,1.53,1.2,1.21,1.29,1.07,1.02,4.13,3.34,2.68,2.33,2.71,2.34,3.15,3.21,3.05,3.91
g_1,1.07,1.17,1.81,1.08,1.29,1.24,1.79,4.51,3.15,1.79,3.03,4.34,3.05,2.99,3.19,2.91
c_0,1.56,1.21,1.23,1.09,0.95,1.08,2.7,2.46,3.9,3.22,4.65,3.5,3.9,3.32,3.33,4.07
d_0,1.39,1.01,0.87,2.21,1.24,0.94,2.81,2.66,1.87,3.88,2.88,2.23,3.89,2.67,2.72,3.35
b_0,1.48,1.26,1.44,1.33,0.78,1.07,2.7,2.37,2.35,2.69,4.22,2.81,3.65,4.48,3.35,3.52
f_0,0.93,1.11,1.27,1.17,1.34,1.52,2.52,2.25,2.43,3.22,3.28,4.68,4.06,3.67,5.88,3.18
h_0,1.76,1.24,1.36,1.18,1.36,1.2,1.35,2.76,2.28,2.31,2.55,2.35,2.64,2.73,3.03,3.59
a_0,1.55,1.12,1.45,1.46,1.43,0.74,2.34,2.2,2.63,2.79,2.53,2.31,3.78,4.88,2.39,3.58
e_0,1.43,0.81,1.52,1.22,1.31,1.12,2.42,2.96,2.55,3.11,2.87,2.69,3.64,4.32,5.41,3.2
g_0,1.18,1.08,1.81,1.29,1.2,1.13,2.34,1.96,2.63,2.26,2.72,3.75,3.5,2.83,3.58,2.52
