,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.49,1.16,0.71,0.72,0.6,0.5,0.76,0.76,0.79,0.76,0.7,0.48,0.78,0.62,0.45,0.83
e_1,0.72,1.5,0.64,0.9,0.73,0.57,0.85,0.61,0.83,1.47,0.82,0.84,0.98,0.85,0.61,0.96
d_1,0.83,0.79,1.56,0.63,0.67,0.64,0.92,0.77,1.36,0.59,0.93,0.85,0.89,0.72,0.63,0.78
c_1,0.8,0.66,0.81,1.57,1.09,0.63,0.75,0.79,0.56,0.71,0.7,0.86,0.97,0.7,0.8,0.75
b_1,0.87,0.69,0.73,0.71,1.61,1.0,0.82,0.81,0.92,0.83,0.7,0.78,0.98,0.61,0.72,0.77
a_1,0.98,0.77,0.83,0.78,0.65,1.77,1.1,0.98,1.0,1.06,1.1,0.81,1.02,0.75,0.82,1.02
h_1,1.35,1.01,0.93,1.01,0.74,0.7,1.78,1.48,1.14,1.05,1.12,0.91,1.13,1.06,1.05,1.31
g_1,0.94,0.99,1.46,0.87,0.94,0.82,0.87,1.85,1.41,0.8,1.28,1.61,1.2,1.03,1.07,1.13
c_0,1.29,1.1,0.97,0.88,0.77,0.73,1.25,1.05,1.63,1.37,2.0,1.35,1.43,1.23,1.14,1.3
d_0,1.18,0.89,0.81,1.72,0.96,0.65,1.3,1.22,0.81,1.6,1.25,0.89,1.45,1.0,0.94,1.07
b_0,1.3,1.1,1.14,1.13,0.64,0.71,1.27,1.08,0.99,1.15,1.69,1.07,1.31,1.7,1.11,1.22
f_0,0.85,0.94,1.12,0.97,1.05,0.98,1.24,1.03,1.13,1.46,1.48,1.8,1.56,1.34,2.0,1.12
h_0,1.53,1.1,1.18,0.93,1.05,0.85,0.76,1.25,1.08,1.07,1.15,0.98,1.06,1.06,1.02,1.3
a_0,1.39,1.01,1.21,1.2,1.16,0.56,1.27,1.05,1.22,1.3,1.1,1.06,1.55,1.76,0.88,1.27
e_0,1.39,0.84,1.34,1.03,1.04,0.72,1.19,1.43,1.2,1.42,1.34,1.15,1.44,1.65,1.9,1.21
g_0,1.09,1.04,1.6,1.18,1.1,0.78,1.15,0.93,1.24,1.24,1.26,1.61,1.33,1.1,1.25,1.0
