,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,10.43,1.99,0.58,0.65,0.63,0.67,0.92,0.85,1.12,0.85,1.05,0.57,0.83,0.84,0.57,0.74
e_1,0.71,11.45,0.61,1.01,0.69,0.55,0.97,0.79,2.52,0.93,0.96,0.9,0.93,0.95,0.69,0.96
d_1,0.81,0.61,14.56,0.45,0.58,0.61,1.03,2.86,0.5,0.95,1.38,1.07,1.23,1.11,1.13,1.22
c_1,0.6,0.54,0.65,12.77,2.09,0.73,0.79,0.55,0.81,0.8,0.55,1.02,0.86,0.98,0.98,0.76
b_1,0.64,0.57,0.71,0.76,12.02,1.82,0.81,0.72,0.72,0.92,0.59,1.0,0.66,1.05,1.08,1.03
a_1,0.89,0.63,0.81,0.72,0.62,17.41,1.07,0.98,0.86,1.02,1.08,1.04,0.82,1.1,1.11,1.03
h_1,1.37,0.8,0.85,0.73,0.56,0.67,3.35,0.96,0.96,1.44,1.21,1.1,1.19,0.78,1.08,1.47
c_0,0.88,0.75,1.11,0.6,0.51,0.72,1.22,2.19,0.85,1.22,3.14,1.04,1.8,1.07,1.15,1.35
d_0,0.72,0.74,0.54,2.67,0.84,0.62,0.95,0.62,2.0,1.01,0.92,1.03,1.08,1.0,0.92,1.04
g_1,0.69,0.53,1.81,0.75,0.72,0.76,1.12,1.17,0.72,4.0,1.05,2.3,1.03,0.98,1.23,0.95
b_0,0.8,0.84,1.01,0.87,0.48,0.63,1.17,1.22,1.15,1.2,2.32,1.15,2.89,1.12,0.99,1.13
f_0,0.7,0.53,0.96,0.93,0.89,0.82,1.12,0.99,0.97,1.02,0.94,2.9,1.01,1.16,3.92,1.26
a_0,0.98,0.72,1.0,0.74,0.57,0.6,1.25,1.18,1.04,0.95,1.35,1.01,2.73,1.32,1.07,1.37
h_0,1.16,0.78,1.01,0.85,0.65,0.79,0.62,1.04,0.99,1.37,1.19,0.99,1.0,0.72,1.21,1.46
e_0,0.94,0.42,0.82,0.87,0.91,0.95,1.11,1.03,0.92,1.39,1.22,1.11,1.06,1.52,3.17,1.3
g_0,0.72,0.61,1.96,0.75,0.64,0.7,1.13,1.24,0.83,0.73,1.01,1.64,1.04,1.06,1.53,0.83
