,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.23,0.88,1.0,0.97,0.91,0.89,0.92,1.08,1.07,1.04,0.87,0.88,0.86,0.77,0.96
e_1,0.8,1.0,0.98,1.2,1.05,0.96,1.01,0.97,1.31,1.11,1.0,1.14,1.01,1.01,1.07,1.08
d_1,1.13,1.01,1.0,0.88,0.94,0.91,1.06,1.18,0.94,0.83,1.04,1.0,1.02,1.02,1.06,0.88
c_1,1.0,0.83,1.08,1.0,1.32,0.98,0.95,0.96,0.73,0.96,0.79,1.0,0.97,1.0,0.98,0.94
b_1,1.02,0.95,1.07,0.79,1.0,1.39,1.07,1.04,0.88,1.05,1.05,0.98,0.97,1.11,1.03,1.1
a_1,1.1,1.07,1.08,1.0,0.73,1.0,1.18,1.04,1.03,1.07,1.15,1.04,1.11,1.06,1.04,1.07
h_1,1.14,1.0,0.98,0.99,0.93,0.9,1.0,0.94,1.03,1.06,0.99,0.98,0.98,1.08,0.96,1.08
c_0,1.06,1.05,0.84,1.05,0.92,0.94,1.06,1.0,1.13,1.03,1.26,0.99,1.15,1.03,1.04,1.01
d_0,0.92,0.79,1.05,1.41,1.09,0.95,0.98,0.89,1.0,1.12,0.93,1.04,1.03,1.03,1.0,1.1
g_1,0.99,0.88,1.23,1.06,0.98,0.94,0.91,1.0,0.94,1.0,0.92,1.21,0.99,0.9,0.99,1.11
b_0,0.99,1.03,0.93,1.26,0.94,0.89,0.98,0.81,1.13,1.06,1.0,1.01,1.28,1.0,0.94,1.02
f_0,1.15,0.88,0.98,1.05,1.02,0.96,1.01,1.0,1.01,0.8,0.92,1.0,1.01,1.0,1.42,0.9
a_0,1.08,0.98,0.98,0.99,1.04,0.89,0.99,0.9,1.01,0.96,0.82,1.02,1.0,1.09,1.04,1.09
h_0,1.13,0.97,1.03,1.02,0.94,0.95,0.9,0.97,1.01,1.14,1.0,0.95,0.93,1.0,0.94,1.09
e_0,1.27,0.94,0.94,1.0,0.98,1.0,1.03,0.98,1.04,1.0,1.07,0.71,1.02,1.03,1.0,0.92
g_0,1.05,0.91,1.15,1.06,0.88,0.94,0.94,0.96,0.96,0.92,0.93,1.05,0.91,0.9,1.06,0.99
