,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.51,0.75,0.38,0.44,0.46,0.32,0.55,0.53,0.51,0.52,0.62,0.25,0.43,0.46,0.36,0.49
e_1,0.42,1.52,0.44,0.45,0.41,0.41,0.55,0.55,0.94,0.54,0.56,0.61,0.49,0.61,0.22,0.57
d_1,0.56,0.43,1.56,0.37,0.42,0.36,0.58,0.96,0.25,0.42,0.62,0.57,0.54,0.62,0.51,0.54
c_1,0.48,0.47,0.48,1.56,0.75,0.33,0.48,0.25,0.49,0.47,0.44,0.6,0.48,0.5,0.47,0.4
b_1,0.5,0.49,0.54,0.37,1.58,0.66,0.53,0.54,0.63,0.56,0.26,0.48,0.37,0.61,0.42,0.58
a_1,0.6,0.39,0.53,0.55,0.37,1.71,0.67,0.62,0.62,0.5,0.6,0.51,0.23,0.69,0.57,0.62
h_1,0.89,0.76,0.65,0.78,0.54,0.58,1.68,0.96,0.84,1.02,0.93,0.91,0.88,0.65,0.78,0.98
c_0,0.89,0.8,0.74,0.52,0.66,0.57,0.88,1.47,0.85,0.84,1.49,0.76,1.05,0.92,0.8,0.88
d_0,0.81,0.68,0.49,1.33,0.68,0.57,0.81,0.75,1.49,0.81,0.92,0.92,0.65,0.86,0.87,0.81
g_1,0.59,0.63,1.15,0.81,0.64,0.65,0.63,0.85,0.8,1.74,0.85,1.14,0.83,0.96,0.72,0.59
b_0,0.73,0.79,0.82,0.89,0.38,0.63,0.87,0.82,0.89,0.92,1.55,0.96,1.39,1.0,0.71,0.89
f_0,0.46,0.72,0.76,0.87,0.89,0.73,0.96,1.01,0.85,0.73,0.85,1.56,0.76,1.01,1.45,0.89
a_0,1.03,0.73,0.88,0.71,0.85,0.48,1.04,1.01,1.21,0.8,0.78,0.87,1.63,1.18,0.87,1.04
h_0,1.04,0.79,0.81,0.86,0.63,0.71,0.5,1.0,1.06,0.92,1.02,0.88,0.77,0.65,0.84,1.1
e_0,0.99,0.45,0.72,0.78,0.92,0.67,1.14,1.18,0.86,0.98,1.06,0.81,0.9,1.24,1.72,1.05
g_0,0.76,0.78,1.05,1.04,0.64,0.72,1.01,0.95,0.84,0.62,0.99,1.21,0.76,0.81,0.82,0.62
