,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.9,0.48,0.71,0.78,0.54,0.56,0.94,0.85,0.89,1.82,1.09,1.01,0.91,0.37,0.83,0.74
d_1,0.64,2.97,0.6,0.49,0.56,0.56,0.92,0.87,1.89,0.29,1.14,1.11,0.97,1.11,1.02,1.05
f_1,1.1,0.69,2.93,0.51,0.5,0.43,0.92,0.91,0.83,0.89,0.28,0.91,0.79,0.59,1.09,0.91
c_1,0.46,0.57,0.62,3.24,1.16,0.51,0.84,0.76,0.35,0.95,0.95,0.55,1.04,0.96,0.79,1.14
b_1,0.58,0.52,0.57,0.6,3.38,1.32,0.86,0.82,0.65,0.85,0.92,0.27,1.12,0.99,0.74,0.92
a_1,0.57,0.65,0.62,0.77,0.62,4.59,0.73,1.02,0.79,0.86,0.84,1.18,0.87,1.19,0.34,0.94
h_1,0.62,0.83,1.01,0.84,0.68,0.6,2.79,1.31,1.08,0.95,1.17,1.27,0.74,1.17,1.12,1.53
g_1,0.68,1.34,0.64,0.45,0.65,0.76,1.12,3.56,1.34,0.82,1.66,1.28,0.95,1.27,1.09,0.63
c_0,0.74,0.93,0.9,0.4,0.61,0.68,1.24,1.15,2.51,0.97,1.29,2.42,1.14,1.13,1.55,1.24
d_0,0.75,0.27,0.75,1.62,0.81,0.51,1.19,0.85,0.66,2.49,0.99,1.17,1.35,1.01,1.17,0.99
f_0,0.61,0.89,0.52,0.67,0.78,0.67,1.3,1.29,1.3,1.08,2.92,1.38,1.41,3.01,1.28,1.27
b_0,0.65,1.11,0.86,0.83,0.3,0.47,1.13,1.19,1.09,1.04,1.15,2.96,1.5,1.27,2.72,1.17
h_0,0.63,0.85,1.1,0.89,0.64,0.85,0.53,1.6,1.08,1.21,1.08,1.14,0.83,1.16,1.54,1.71
e_0,0.34,0.94,1.0,0.71,0.65,0.84,1.33,1.17,1.01,0.98,1.11,1.24,1.56,3.54,1.07,1.24
a_0,0.77,0.85,0.94,0.77,0.68,0.27,1.32,1.07,1.05,0.98,1.4,1.29,1.5,1.28,3.63,1.31
g_0,0.57,1.28,0.62,0.94,0.72,0.75,1.02,0.58,1.01,0.87,1.66,1.31,1.19,1.34,1.11,0.63
