,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.9,0.25,0.34,0.38,0.27,0.2,0.32,0.21,0.26,0.49,0.24,0.24,0.27,0.17,0.11,0.21
d_1,0.34,0.92,0.32,0.23,0.25,0.19,0.34,0.25,0.52,0.13,0.27,0.27,0.27,0.22,0.2,0.26
f_1,0.55,0.31,0.9,0.26,0.22,0.16,0.3,0.23,0.26,0.27,0.15,0.22,0.22,0.2,0.11,0.21
c_1,0.25,0.3,0.33,0.9,0.51,0.2,0.28,0.19,0.16,0.24,0.23,0.14,0.28,0.14,0.18,0.26
b_1,0.29,0.29,0.3,0.29,0.9,0.4,0.29,0.24,0.2,0.26,0.22,0.12,0.3,0.14,0.19,0.24
a_1,0.33,0.36,0.33,0.33,0.26,0.89,0.27,0.26,0.21,0.28,0.23,0.25,0.25,0.13,0.23,0.2
h_1,0.32,0.38,0.47,0.32,0.28,0.18,0.61,0.33,0.29,0.27,0.27,0.29,0.22,0.18,0.2,0.34
g_1,0.31,0.56,0.32,0.25,0.26,0.23,0.34,0.61,0.35,0.25,0.41,0.3,0.26,0.18,0.23,0.22
c_0,0.35,0.44,0.39,0.21,0.26,0.2,0.38,0.3,0.52,0.29,0.29,0.52,0.28,0.27,0.2,0.29
d_0,0.31,0.24,0.36,0.62,0.33,0.18,0.32,0.22,0.18,0.52,0.25,0.23,0.3,0.19,0.18,0.25
f_0,0.28,0.37,0.33,0.32,0.34,0.19,0.37,0.34,0.35,0.29,0.5,0.3,0.34,0.2,0.45,0.3
b_0,0.33,0.46,0.4,0.35,0.2,0.13,0.35,0.27,0.3,0.27,0.28,0.48,0.35,0.45,0.21,0.29
h_0,0.3,0.39,0.48,0.37,0.28,0.22,0.23,0.39,0.27,0.29,0.25,0.27,0.23,0.21,0.19,0.38
a_0,0.31,0.4,0.41,0.35,0.28,0.14,0.37,0.29,0.32,0.3,0.28,0.31,0.37,0.45,0.23,0.34
e_0,0.26,0.4,0.41,0.31,0.29,0.22,0.39,0.29,0.33,0.27,0.29,0.3,0.37,0.2,0.46,0.31
g_0,0.27,0.55,0.3,0.38,0.3,0.21,0.31,0.21,0.3,0.24,0.39,0.29,0.3,0.17,0.23,0.19
