,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.4,0.63,0.45,0.86,0.73,0.63,0.39,0.38,0.3,0.39,0.39,0.32,0.3,0.32,0.38,0.29
d_1,0.77,0.4,0.67,0.68,0.71,0.6,0.35,0.25,0.33,0.4,0.31,0.27,0.26,0.31,0.3,0.19
f_1,0.74,0.66,0.4,0.64,0.66,0.61,0.29,0.39,0.28,0.3,0.33,0.28,0.2,0.28,0.26,0.3
c_1,0.52,0.81,0.7,0.38,0.76,0.6,0.34,0.43,0.4,0.19,0.31,0.28,0.25,0.27,0.3,0.22
b_1,0.68,0.71,0.77,0.43,0.37,0.79,0.39,0.41,0.35,0.3,0.29,0.37,0.28,0.3,0.33,0.26
a_1,0.7,0.72,0.8,0.71,0.39,0.31,0.38,0.38,0.34,0.39,0.33,0.49,0.25,0.46,0.31,0.26
h_1,0.59,0.61,0.67,0.65,0.6,0.64,0.25,0.33,0.27,0.29,0.28,0.29,0.3,0.25,0.25,0.27
g_1,0.65,0.67,0.62,0.67,0.6,0.59,0.28,0.22,0.27,0.3,0.28,0.31,0.19,0.27,0.27,0.29
c_0,0.67,0.42,0.66,0.85,0.8,0.66,0.34,0.3,0.23,0.43,0.27,0.34,0.26,0.32,0.27,0.26
d_0,0.41,0.91,0.63,0.8,0.65,0.58,0.36,0.37,0.27,0.22,0.3,0.32,0.26,0.27,0.3,0.29
f_0,0.57,0.58,0.84,0.61,0.71,0.58,0.33,0.25,0.28,0.31,0.21,0.27,0.26,0.27,0.33,0.18
b_0,0.59,0.57,0.66,0.95,0.84,0.52,0.32,0.29,0.17,0.29,0.26,0.21,0.25,0.32,0.26,0.22
h_0,0.58,0.62,0.75,0.61,0.58,0.59,0.37,0.4,0.3,0.31,0.26,0.25,0.27,0.25,0.24,0.26
a_0,0.71,0.54,0.62,0.72,0.75,0.64,0.37,0.35,0.25,0.29,0.29,0.17,0.27,0.19,0.29,0.28
e_0,0.75,0.59,0.86,0.63,0.57,0.54,0.34,0.32,0.29,0.28,0.17,0.31,0.26,0.29,0.19,0.24
g_0,0.63,0.64,0.66,0.61,0.6,0.66,0.27,0.35,0.28,0.28,0.3,0.28,0.19,0.22,0.26,0.28
