,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.44,4.4,3.73,4.23,4.72,4.26,0.82,0.83,1.14,0.86,0.99,2.82,0.43,0.97,0.88,0.84
e_1,2.31,0.44,4.84,5.05,5.08,4.38,1.55,0.7,1.86,0.86,0.8,0.9,0.61,0.88,0.77,4.48
d_1,4.63,5.46,0.43,4.96,4.13,3.92,1.21,5.6,0.72,0.8,0.94,0.77,0.62,0.95,0.42,0.79
c_1,4.67,3.5,6.44,0.42,3.9,4.36,1.19,0.54,1.7,3.25,1.02,1.0,0.62,0.94,0.49,1.11
b_1,5.61,5.59,4.77,2.59,0.39,6.29,1.67,1.36,1.62,1.4,4.07,0.86,0.63,0.94,0.75,0.98
a_1,7.07,7.53,5.07,5.5,3.44,0.32,1.9,1.59,1.68,1.44,1.42,1.39,1.24,4.64,0.77,1.35
h_1,5.45,4.26,5.09,5.6,5.1,3.96,0.36,0.88,1.35,0.99,0.9,0.76,2.6,1.09,0.89,0.68
d_0,5.87,2.72,17.67,6.72,6.52,5.39,1.54,0.44,2.06,1.22,0.94,0.96,1.18,0.98,0.94,1.28
g_1,6.19,5.8,6.11,5.24,5.3,5.55,1.4,1.47,0.32,1.29,1.15,1.22,0.65,0.93,1.9,1.07
c_0,9.29,5.17,2.73,23.11,6.55,5.73,1.64,1.29,1.72,0.42,0.9,0.92,0.9,1.1,0.88,1.32
b_0,6.36,6.11,5.23,7.85,23.32,4.8,1.91,1.75,1.29,0.55,0.41,1.02,0.79,1.04,0.79,0.75
f_0,15.15,6.14,5.85,5.08,6.49,6.63,2.34,1.3,1.06,1.06,1.01,0.42,0.92,1.05,0.64,1.21
h_0,8.64,7.44,5.47,5.39,7.65,6.35,4.26,1.51,2.2,1.53,1.35,1.4,3.29,1.36,0.97,1.49
a_0,7.02,6.43,9.69,6.58,9.4,20.08,2.07,1.54,2.09,1.02,0.64,0.99,1.07,0.36,1.0,1.49
g_0,7.77,7.04,7.32,8.1,7.44,9.23,1.64,1.36,5.86,1.56,1.39,1.39,0.77,1.45,2.38,2.02
e_0,6.11,18.29,7.25,6.89,7.06,7.88,2.07,1.55,2.46,1.43,1.23,0.79,1.36,1.68,1.21,0.33
