,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.14,10.2,10.25,10.43,9.75,9.4,2.34,3.02,1.85,1.92,9.59,2.4,1.09,1.84,2.17,2.49
e_1,5.76,1.14,13.29,11.66,13.1,16.24,3.57,3.8,2.38,2.39,2.66,1.85,1.35,10.76,2.94,1.63
d_1,12.11,12.26,1.14,13.34,9.78,11.23,3.08,1.85,2.39,8.63,1.9,2.29,1.5,2.29,1.8,1.16
c_1,14.24,11.44,15.11,1.14,15.65,11.6,3.54,4.38,12.05,1.44,2.48,2.81,1.92,3.34,2.75,1.83
b_1,14.81,19.46,11.01,7.61,1.14,16.24,3.94,4.36,3.0,3.32,2.97,9.29,2.96,3.34,2.94,2.16
a_1,25.73,25.76,21.55,22.43,12.7,1.15,6.29,7.8,5.48,5.21,6.22,7.05,4.0,3.75,,3.06
h_1,26.84,24.86,26.19,28.47,28.11,23.5,1.91,8.35,5.22,5.3,6.8,4.33,11.33,3.94,5.49,4.32
g_1,33.61,28.87,33.04,32.18,30.47,38.0,8.39,1.9,6.38,6.64,6.43,5.97,3.49,7.24,6.53,8.76
c_0,39.27,42.12,15.85,98.7,39.66,26.66,12.41,14.49,2.67,9.44,6.5,7.8,5.59,5.69,6.11,4.63
d_0,43.38,18.65,121.9,38.45,39.12,38.83,11.57,19.19,7.37,2.8,6.29,5.74,5.16,9.48,8.61,6.61
f_0,120.35,29.83,33.99,37.96,33.28,42.52,9.11,6.34,6.77,8.63,2.57,6.29,5.75,10.47,8.24,3.03
b_0,38.86,29.11,35.71,47.0,96.5,39.69,12.06,10.6,4.2,7.65,6.57,2.79,5.75,7.24,6.02,5.59
h_0,52.55,49.72,57.02,52.87,55.67,51.03,35.67,17.32,10.36,10.6,8.24,8.73,21.47,8.47,10.83,7.2
e_0,82.91,108.48,45.32,56.94,56.76,35.72,18.61,17.75,10.05,9.74,5.22,10.64,9.07,2.64,8.24,7.71
a_0,54.87,59.67,62.02,72.22,72.38,,12.97,16.14,9.34,11.84,10.64,5.09,8.33,9.26,2.89,6.35
g_0,70.4,67.55,82.21,70.5,78.24,63.79,12.97,39.44,10.69,12.85,11.47,15.39,8.16,13.27,8.81,20.25
