,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.52,1.37,0.83,0.91,0.69,0.65,0.91,0.99,0.96,1.06,1.04,0.78,1.08,0.61,0.83,0.97
e_1,0.87,1.53,0.87,1.08,0.82,0.68,1.09,1.01,0.91,1.65,1.1,1.21,1.14,0.8,0.93,1.06
d_1,1.0,0.88,1.54,0.74,0.89,0.72,1.03,0.86,1.67,0.75,1.14,1.04,1.08,1.0,0.84,0.9
c_1,0.96,0.82,0.94,1.6,1.4,0.76,1.05,1.03,0.68,0.88,0.83,0.95,1.0,0.81,0.83,1.0
b_1,1.13,0.88,0.95,0.72,1.61,1.11,1.05,0.94,1.17,1.02,0.87,1.08,1.25,0.89,0.83,1.02
a_1,1.17,0.91,1.05,0.98,0.85,1.8,1.34,0.94,1.29,1.08,1.27,0.97,1.24,1.17,0.88,1.17
h_1,1.45,1.09,1.18,1.07,1.11,0.81,1.81,1.4,1.1,1.09,1.15,1.28,1.14,1.03,1.25,1.67
g_1,1.09,1.04,1.54,1.04,1.11,0.9,1.29,1.87,1.3,1.19,1.28,1.81,1.25,1.17,1.15,1.19
c_0,1.28,1.34,1.07,1.14,0.85,0.9,1.46,1.4,1.73,1.64,2.32,1.45,1.56,1.29,1.46,1.4
d_0,1.19,1.06,1.07,1.93,1.13,0.85,1.42,1.25,0.91,1.72,1.26,1.24,1.44,1.32,1.16,1.55
b_0,1.28,1.15,1.22,1.3,1.0,0.8,1.46,1.41,1.16,1.45,1.76,1.37,1.66,1.37,2.09,1.49
f_0,0.98,0.96,1.43,1.27,1.19,1.0,1.33,1.22,1.48,1.4,1.42,1.8,1.66,2.28,1.36,1.32
h_0,1.47,1.35,1.39,1.34,0.94,0.92,1.26,1.76,1.42,1.4,1.37,1.29,1.26,1.09,1.19,1.65
e_0,1.68,1.1,1.31,1.19,1.16,1.04,1.64,1.37,1.43,1.21,1.47,1.0,1.73,1.89,1.37,1.51
a_0,1.36,1.22,1.39,1.29,1.08,0.77,1.43,1.4,1.5,1.39,1.28,1.51,1.82,1.32,1.86,1.7
g_0,1.12,1.22,1.81,1.36,1.08,0.94,1.25,1.35,1.53,1.23,1.55,1.98,1.59,1.51,1.32,1.27
