,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.96,0.88,0.56,0.59,0.52,0.35,0.37,0.35,0.35,0.36,0.33,0.27,0.32,0.25,0.2,0.27
e_1,0.62,0.96,0.53,0.7,0.61,0.44,0.43,0.39,0.37,0.58,0.34,0.36,0.36,0.3,0.24,0.32
d_1,0.7,0.67,0.96,0.51,0.54,0.41,0.44,0.6,0.33,0.36,0.43,0.41,0.38,0.3,0.3,0.29
c_1,0.62,0.6,0.66,0.96,0.88,0.41,0.4,0.27,0.34,0.3,0.27,0.36,0.35,0.27,0.25,0.3
b_1,0.69,0.58,0.73,0.54,0.95,0.71,0.47,0.4,0.36,0.35,0.31,0.33,0.37,0.23,0.28,0.34
a_1,0.82,0.68,0.74,0.79,0.55,0.95,0.57,0.48,0.44,0.44,0.47,0.42,0.42,0.31,0.29,0.39
h_1,1.14,0.95,0.95,0.82,0.8,0.54,0.81,0.57,0.63,0.59,0.56,0.55,0.45,0.39,0.38,0.56
c_0,1.11,1.03,0.92,0.99,0.77,0.57,0.65,0.78,0.5,0.6,0.86,0.56,0.56,0.54,0.43,0.45
g_1,0.98,0.91,1.27,0.95,0.87,0.63,0.61,0.68,0.79,0.57,0.52,0.75,0.54,0.47,0.45,0.44
d_0,1.11,0.9,0.74,1.46,0.95,0.66,0.59,0.51,0.55,0.72,0.54,0.54,0.56,0.51,0.37,0.47
b_0,1.16,1.04,1.01,1.12,0.9,0.48,0.59,0.61,0.65,0.7,0.73,0.57,0.63,0.79,0.48,0.56
f_0,0.99,0.94,1.03,1.06,1.09,0.71,0.69,0.65,0.55,0.6,0.64,0.73,0.63,0.53,0.7,0.43
h_0,1.36,1.06,1.12,1.1,0.97,0.69,0.63,0.71,0.72,0.65,0.63,0.58,0.55,0.48,0.44,0.67
a_0,1.29,1.08,1.09,1.15,1.21,0.58,0.86,0.67,0.65,0.68,0.58,0.64,0.65,0.7,0.44,0.57
e_0,1.29,1.02,1.07,1.17,1.16,0.77,0.81,0.67,0.65,0.73,0.64,0.55,0.67,0.56,0.69,0.63
g_0,1.11,1.03,1.47,1.15,1.05,0.69,0.73,0.76,0.62,0.66,0.61,0.88,0.55,0.49,0.51,0.53
