,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,9.87,1.88,0.66,0.71,0.58,0.5,0.85,0.96,0.83,0.87,0.57,0.96,0.94,0.62,0.82,0.75
e_1,0.82,10.29,0.94,0.61,0.61,0.66,1.02,2.21,0.91,0.96,1.0,0.93,1.12,0.78,1.0,0.87
c_1,0.74,0.5,11.98,0.64,1.92,0.86,0.89,0.69,0.89,0.45,0.88,0.58,0.89,0.82,0.86,1.11
d_1,0.67,0.68,0.46,14.25,0.6,0.69,1.06,0.57,1.16,3.09,1.3,1.47,0.96,1.2,0.95,0.99
b_1,0.67,0.57,0.79,0.65,12.25,2.06,0.84,1.06,0.82,0.71,0.85,0.54,0.94,1.0,0.85,0.99
a_1,0.73,0.61,0.85,0.76,0.73,16.94,0.83,0.96,0.78,0.75,0.92,0.97,1.04,1.0,0.81,0.96
h_1,1.13,0.76,0.9,0.87,0.64,0.59,3.42,0.78,1.51,0.91,0.98,1.12,0.68,0.88,0.95,1.38
d_0,0.78,0.6,2.11,0.56,0.91,0.75,1.07,1.72,0.89,0.66,1.25,0.94,1.04,0.95,1.04,1.29
g_1,0.72,0.62,0.62,2.09,0.63,0.58,1.15,0.79,4.0,1.12,2.14,1.29,1.05,1.39,1.47,0.85
c_0,0.83,0.91,0.56,1.05,0.55,0.62,1.24,0.95,1.35,2.25,1.25,3.52,1.23,1.37,1.55,1.25
f_0,0.49,0.46,0.94,0.98,0.91,0.92,1.26,1.1,1.21,1.49,2.81,1.34,1.25,3.72,1.15,1.44
b_0,0.89,0.84,0.84,1.01,0.51,0.54,1.14,0.81,1.34,0.97,1.14,2.71,1.27,1.27,2.83,1.43
h_0,1.29,0.69,0.7,0.84,0.7,0.69,0.8,0.98,1.37,0.89,1.1,1.22,0.91,1.26,1.18,1.49
e_0,0.63,0.48,0.93,1.01,1.0,0.73,1.36,1.04,1.06,0.96,1.3,1.3,1.53,3.44,1.5,1.58
a_0,1.09,0.72,0.94,0.78,0.74,0.51,1.02,0.9,0.93,0.95,1.07,1.03,1.29,1.2,3.22,1.29
g_0,0.49,0.64,0.81,1.64,0.86,0.73,0.99,0.76,0.86,1.37,2.27,1.36,1.13,1.83,1.06,0.91
