,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.04,1.59,1.37,1.44,1.29,1.08,0.44,0.44,0.5,0.41,0.51,0.41,0.28,0.37,0.31,0.38
e_1,1.15,1.04,1.72,1.42,1.44,1.28,0.54,0.55,0.55,0.43,0.54,0.42,0.37,0.47,0.4,0.33
c_1,1.74,1.41,1.04,1.95,1.67,1.27,0.56,0.34,0.6,0.51,0.47,0.42,0.39,0.37,0.39,0.36
d_1,1.73,1.85,1.59,1.04,1.53,1.34,0.62,0.62,0.43,0.55,0.48,0.51,0.38,0.38,0.39,0.26
b_1,2.08,1.95,1.3,2.0,1.05,1.85,0.76,0.59,0.74,0.67,0.52,0.64,0.47,0.46,0.51,0.4
a_1,2.81,2.51,2.16,2.41,1.35,1.06,0.98,0.79,0.93,0.78,0.66,0.84,0.57,0.63,0.8,0.52
h_1,5.21,4.58,4.6,4.13,4.08,3.77,1.24,1.29,1.6,1.2,1.22,1.3,1.1,1.02,1.09,1.02
d_0,5.07,3.71,6.24,6.09,4.46,3.85,2.13,1.37,2.0,1.49,1.61,1.72,1.23,1.32,1.37,1.33
g_1,5.8,5.08,5.12,5.15,4.94,4.45,1.6,1.62,1.25,1.36,1.57,1.4,1.05,1.37,1.45,1.13
c_0,6.14,5.57,7.09,3.63,5.82,4.89,2.28,1.98,1.95,1.35,1.49,2.13,1.38,1.49,1.54,1.08
f_0,7.22,5.36,6.09,5.2,5.34,4.87,2.18,1.71,1.54,1.66,1.32,1.66,1.26,1.63,1.53,0.88
b_0,6.5,6.05,8.38,4.69,6.82,4.61,2.29,1.87,1.88,1.11,1.66,1.35,1.34,1.46,1.67,1.23
h_0,7.88,6.66,6.82,6.4,6.19,5.56,2.96,2.07,2.43,1.89,1.91,1.88,1.68,1.5,1.69,1.46
e_0,9.94,8.86,8.97,7.31,8.05,6.61,3.38,2.58,2.56,2.16,1.5,2.23,1.86,1.44,2.05,1.4
a_0,9.51,8.51,9.7,7.73,8.13,6.45,3.46,2.46,2.66,1.88,2.31,1.5,1.92,1.92,1.46,1.79
g_0,9.2,8.64,8.12,8.96,7.22,6.86,2.6,2.3,3.13,2.51,2.44,2.33,1.65,1.93,1.86,1.89
