,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,5.46,0.15,0.07,0.08,0.08,0.09,0.3,0.42,0.25,0.33,,0.37,0.55,0.38,0.31,0.57
e_1,0.08,5.55,0.08,0.06,0.06,0.08,0.23,0.71,0.32,0.39,0.32,0.4,0.74,,0.41,0.35
c_1,0.09,0.07,6.42,0.06,0.14,0.1,0.34,0.39,0.26,,0.38,0.33,0.64,,0.36,0.78
d_1,0.07,0.08,0.08,6.57,0.07,0.07,0.37,,0.34,0.69,0.5,0.25,0.47,0.39,0.44,0.55
b_1,0.08,0.07,0.08,0.09,7.81,0.13,0.28,0.42,0.23,0.31,0.31,,0.72,,0.39,0.6
a_1,0.08,0.07,0.11,0.07,0.08,10.26,0.29,0.5,0.25,,0.31,,0.64,0.48,,0.59
h_1,0.47,0.2,0.36,0.23,0.31,0.23,15.27,1.28,1.64,2.04,0.9,1.29,,1.14,1.76,2.49
d_0,0.47,0.38,0.55,,0.4,0.33,1.55,11.9,1.23,2.04,2.4,1.41,3.18,1.3,2.0,3.14
g_1,0.32,0.2,0.19,0.51,0.23,0.27,0.98,1.33,18.4,0.96,2.54,1.42,1.73,,1.59,
c_0,0.37,0.44,,0.48,0.32,,1.49,1.36,1.38,12.67,2.77,3.89,2.7,2.13,2.25,2.05
f_0,,0.39,0.38,0.37,0.39,0.35,1.53,1.74,1.27,2.23,14.1,1.98,3.61,3.93,,3.38
b_0,0.35,0.44,0.52,0.28,,,1.57,1.79,1.83,2.16,1.91,14.33,3.55,1.65,3.18,2.71
h_0,0.8,0.51,0.61,0.57,0.7,0.5,,2.72,3.04,2.88,2.59,3.85,,2.46,2.01,4.53
e_0,0.27,,,0.5,,0.55,1.67,2.6,,2.36,1.67,2.67,2.92,22.99,,3.82
a_0,0.45,0.28,0.36,0.37,0.31,,1.58,2.0,1.27,2.37,,2.04,2.62,,23.52,
g_0,0.37,0.54,0.5,0.97,0.76,0.55,2.67,1.83,,3.19,4.35,2.71,4.06,3.42,,
