,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.81,0.71,1.31,0.83,0.72,0.64,0.94,0.84,0.94,0.86,0.69,0.82,0.93,0.95,1.04,0.6
d_1,0.9,1.92,0.82,0.66,0.77,0.67,0.9,1.04,0.73,1.62,1.0,1.24,1.12,0.98,1.1,1.02
e_1,0.85,0.71,1.83,0.93,0.75,0.81,0.98,0.94,1.61,0.92,0.98,1.01,1.03,0.95,1.04,0.81
c_1,0.77,0.8,0.71,1.92,1.39,0.75,0.95,0.86,0.84,0.63,0.92,0.73,0.96,0.97,0.83,0.96
b_1,0.83,0.79,0.78,0.85,2.02,1.43,1.0,0.92,0.85,0.88,0.98,0.73,0.88,1.02,0.69,1.06
a_1,0.86,0.92,0.74,0.94,0.71,2.93,0.98,1.06,0.95,0.91,1.14,1.09,1.07,0.98,0.68,1.14
h_1,1.09,0.94,0.8,0.89,0.79,0.76,1.72,1.19,0.99,0.93,0.96,1.09,0.76,1.29,0.97,1.12
g_1,0.76,1.3,0.74,0.85,0.87,0.87,0.91,1.98,0.78,1.15,1.44,1.13,1.02,0.8,0.89,1.26
d_0,0.85,0.77,0.8,1.43,0.95,0.7,1.02,0.96,1.43,0.72,0.9,0.91,0.88,1.07,1.17,0.9
c_0,0.91,0.98,0.82,0.75,0.72,0.95,1.14,1.15,1.11,1.58,1.26,1.82,1.14,1.05,1.43,1.29
f_0,0.73,1.14,0.73,0.87,0.85,0.91,1.09,1.3,0.98,1.21,1.71,1.17,1.22,1.05,1.17,2.19
b_0,1.03,1.09,0.78,0.92,0.68,0.7,1.06,1.01,1.01,0.98,1.17,1.62,1.24,1.12,2.09,1.12
h_0,1.13,0.98,0.87,0.81,0.82,0.82,0.79,1.17,0.92,0.98,1.11,1.08,0.81,1.28,1.04,1.03
g_0,0.72,1.27,0.83,0.84,0.79,0.85,1.07,0.95,0.93,1.06,1.46,1.16,0.92,0.83,1.19,1.15
a_0,0.92,1.06,0.83,0.87,0.74,0.64,1.25,1.09,1.09,0.98,1.26,1.13,1.21,1.18,2.09,1.14
e_0,0.93,1.09,0.48,0.96,0.86,0.88,1.21,1.14,0.91,1.07,1.15,1.19,1.21,1.25,1.15,2.14
