,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.16,0.57,0.63,0.64,0.62,0.62,0.15,0.23,0.15,0.14,0.28,0.13,0.07,0.12,0.14,0.16
d_1,0.77,0.16,0.81,0.67,0.67,0.54,0.19,0.13,0.23,0.13,0.12,0.11,0.08,0.06,0.12,0.1
e_1,0.35,0.68,0.16,0.74,0.73,0.76,0.22,0.21,0.16,0.15,0.17,0.17,0.11,0.1,0.15,0.34
c_1,0.65,0.85,0.58,0.15,0.62,0.56,0.14,0.17,0.08,0.24,0.14,0.1,0.11,0.09,0.13,0.13
b_1,0.8,0.69,0.64,0.34,0.14,0.81,0.21,0.24,0.14,0.17,0.13,0.3,0.1,0.11,0.14,0.13
a_1,0.75,0.87,0.57,0.94,0.34,0.09,0.23,0.18,0.15,0.12,0.12,0.15,0.1,0.1,0.29,0.13
h_1,0.51,0.56,0.52,0.51,0.46,0.6,0.06,0.17,0.1,0.1,0.1,0.1,0.13,0.07,0.09,0.08
g_1,0.66,0.47,0.52,0.61,0.56,0.45,0.13,0.05,0.11,0.1,0.09,0.12,0.06,0.11,0.11,0.09
d_0,0.5,0.96,0.3,0.57,0.58,0.54,0.15,0.2,0.06,0.1,0.12,0.1,0.09,0.08,0.1,0.11
c_0,0.67,0.28,0.52,1.13,0.55,0.49,0.17,0.14,0.16,0.06,0.1,0.11,0.08,0.08,0.1,0.11
f_0,0.98,0.44,0.52,0.57,0.48,0.44,0.15,0.1,0.15,0.09,0.05,0.1,0.07,0.05,0.09,0.09
b_0,0.61,0.39,0.44,0.66,1.01,0.45,0.15,0.13,0.11,0.06,0.1,0.05,0.07,0.07,0.1,0.09
h_0,0.55,0.44,0.46,0.48,0.58,0.48,0.31,0.14,0.12,0.09,0.1,0.09,0.12,0.09,0.09,0.09
g_0,0.56,0.48,0.55,0.54,0.47,0.53,0.11,0.22,0.11,0.1,0.1,0.1,0.06,0.13,0.1,0.09
a_0,0.46,0.45,0.48,0.58,0.7,1.14,0.16,0.18,0.09,0.08,0.1,0.05,0.07,0.06,0.04,0.09
e_0,0.86,0.46,0.78,0.48,0.48,0.46,0.12,0.13,0.11,0.08,0.06,0.09,0.09,0.07,0.16,0.04
