,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.85,1.33,0.98,0.84,0.77,0.62,0.65,0.68,0.58,0.58,0.57,0.48,0.62,0.57,0.47
d_1,1.17,1.0,1.09,0.88,0.95,0.68,0.7,0.59,0.62,0.85,0.63,0.66,0.6,0.47,0.56,0.51
e_1,0.75,0.91,1.0,1.11,1.02,0.99,0.77,0.72,0.93,0.67,0.74,0.74,0.67,0.6,0.61,0.7
c_1,1.03,1.14,0.89,1.0,1.32,0.68,0.63,0.61,0.48,0.51,0.61,0.49,0.65,0.58,0.54,0.57
b_1,1.19,1.05,0.98,0.76,1.0,1.41,0.84,0.78,0.67,0.72,0.65,0.68,0.59,0.67,0.52,0.62
a_1,1.28,1.45,1.01,1.46,0.72,1.0,0.89,0.81,0.82,0.7,0.77,0.82,0.74,0.67,0.57,0.65
h_1,1.59,1.46,1.29,1.54,1.22,1.2,1.0,1.09,0.86,0.84,0.81,0.85,0.79,0.92,0.69,0.78
g_1,1.5,1.79,1.39,1.59,1.32,1.17,0.93,1.0,0.84,0.92,1.04,1.02,0.77,0.79,0.73,0.82
d_0,1.44,1.66,1.11,2.12,1.56,1.28,1.16,1.2,1.0,0.78,0.86,0.89,0.91,0.9,0.86,0.88
c_0,1.72,1.21,1.45,1.82,1.39,1.4,1.21,1.13,1.3,1.0,1.02,1.38,1.01,0.96,0.99,1.01
f_0,1.64,1.61,1.37,1.61,1.52,1.29,1.2,1.01,1.18,0.94,1.0,1.04,0.91,0.71,0.88,1.24
b_0,1.79,1.5,1.3,1.95,1.56,1.16,1.2,0.97,1.08,0.72,0.99,1.0,1.03,0.93,1.34,0.91
h_0,2.03,1.65,1.51,1.55,1.72,1.34,1.32,1.27,1.07,0.97,1.09,0.99,1.0,1.17,0.91,0.82
g_0,1.64,2.06,1.72,1.76,1.45,1.49,1.09,1.23,1.04,1.1,1.35,1.09,0.83,1.0,1.02,0.93
a_0,1.64,1.76,1.65,1.77,1.98,1.78,1.4,1.29,1.13,0.93,1.19,0.76,1.15,1.0,1.0,0.84
e_0,2.17,1.84,1.49,1.77,1.72,1.46,1.28,1.23,1.13,0.97,0.84,1.11,1.23,1.09,1.38,1.0
