,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.09,1.22,1.33,1.73,3.26,17.75,21.85,33.99,32.85,41.46,40.58,69.69,78.33,79.18,78.4
e_1,0.91,1.0,0.79,1.71,1.99,3.46,17.6,27.88,25.46,42.59,34.04,51.33,75.69,78.28,81.42,98.93
f_1,0.83,1.28,1.0,1.44,1.64,2.74,12.67,29.33,23.71,30.81,33.16,33.21,57.78,69.7,60.02,75.54
c_1,0.75,0.6,0.69,1.0,1.74,2.48,11.72,16.79,15.88,16.03,21.17,29.63,45.59,45.4,47.36,67.21
b_1,0.58,0.49,0.63,0.57,1.0,2.84,10.14,14.5,14.56,16.78,20.35,21.38,37.13,35.52,49.75,56.24
a_1,0.31,0.28,0.36,0.4,0.35,1.0,5.39,8.05,7.61,10.86,11.59,10.82,27.11,22.45,25.31,29.07
h_1,0.05,0.06,0.08,0.09,0.1,0.18,1.0,1.74,1.56,1.98,2.06,2.04,4.41,3.73,4.47,6.12
g_1,0.04,0.03,0.04,0.06,0.07,0.13,0.57,1.0,1.0,1.06,1.32,1.7,2.37,2.93,3.44,3.17
c_0,0.03,0.04,0.04,0.06,0.07,0.13,0.65,1.03,1.0,1.53,1.75,1.48,2.81,3.06,2.95,3.3
d_0,0.03,0.02,0.03,0.06,0.06,0.09,0.53,0.91,0.64,1.0,0.96,1.3,2.34,2.21,2.59,3.08
b_0,0.03,0.03,0.03,0.05,0.05,0.09,0.49,0.8,0.57,0.99,1.0,1.03,2.33,3.08,2.17,2.7
f_0,0.02,0.02,0.03,0.03,0.05,0.1,0.48,0.58,0.64,0.78,0.92,1.0,2.05,1.89,3.02,1.97
h_0,0.01,0.01,0.02,0.02,0.03,0.04,0.23,0.42,0.37,0.41,0.43,0.48,1.0,1.07,0.91,1.49
a_0,0.01,0.01,0.01,0.02,0.03,0.05,0.26,0.35,0.32,0.45,0.35,0.54,0.92,1.0,0.97,1.14
e_0,0.01,0.01,0.02,0.02,0.02,0.04,0.22,0.3,0.33,0.38,0.46,0.35,1.1,1.04,1.0,1.17
g_0,0.01,0.01,0.01,0.02,0.02,0.04,0.17,0.32,0.3,0.33,0.36,0.54,0.68,0.9,0.85,1.0
