,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.52,0.75,0.84,0.62,0.64,0.53,0.94,0.72,1.39,0.63,1.04,0.86,0.88,0.87,0.81,0.86
e_1,0.65,1.52,0.69,0.85,0.75,0.63,0.88,0.8,0.85,1.39,0.84,0.99,1.02,0.88,0.49,0.92
f_1,0.7,1.17,1.53,0.74,0.66,0.48,0.66,0.8,0.84,0.8,0.86,0.58,0.87,0.65,0.56,0.67
c_1,0.85,0.69,0.73,1.59,1.1,0.62,0.89,0.71,0.51,0.72,0.65,0.86,0.87,0.62,0.58,0.92
b_1,0.86,0.69,0.81,0.62,1.63,1.14,0.98,0.82,0.86,0.79,0.65,0.83,0.78,0.58,0.95,0.98
a_1,0.95,0.83,0.95,0.76,0.51,1.76,0.96,0.96,0.92,1.09,0.95,0.96,1.38,0.68,0.95,1.04
h_1,0.98,0.9,1.33,0.99,0.89,0.78,1.75,1.32,1.14,1.12,1.11,1.0,0.96,0.78,1.0,1.47
g_1,1.44,0.88,0.7,1.06,0.9,0.78,0.96,1.85,1.2,0.93,1.1,1.49,1.13,1.13,1.22,0.97
c_0,1.01,1.1,1.02,0.79,0.86,0.84,1.12,1.13,1.64,1.33,1.87,1.17,1.36,1.17,1.1,1.2
d_0,0.72,0.9,1.08,1.75,0.91,0.76,1.23,1.24,0.96,1.64,1.01,1.16,1.3,0.99,1.14,1.34
b_0,1.13,1.09,1.1,0.99,0.68,0.67,1.29,1.15,1.14,1.25,1.69,1.11,1.65,2.0,1.01,1.37
f_0,1.15,0.79,0.87,0.98,0.95,1.05,1.36,1.18,1.34,1.22,1.24,1.71,1.61,1.08,2.05,1.13
h_0,1.25,1.05,1.47,1.11,1.06,0.61,0.95,1.37,1.29,1.16,0.89,0.98,1.05,1.14,0.82,1.52
a_0,1.21,1.09,1.16,1.2,0.97,0.61,1.51,1.22,1.37,1.33,1.07,1.29,1.47,1.73,1.06,1.14
e_0,1.21,0.86,1.32,1.23,0.91,0.84,1.48,1.09,1.29,1.15,1.3,1.02,1.74,1.2,1.79,1.36
g_0,1.58,0.89,1.17,0.97,0.83,0.77,1.14,1.05,1.41,1.12,1.13,1.76,1.24,1.3,1.07,1.23
