,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.18,0.59,0.64,0.49,0.46,0.54,1.03,1.95,0.87,0.9,1.01,1.07,0.89,0.83,0.43,1.08
f_1,1.27,15.99,0.49,0.43,0.45,0.39,0.73,0.87,0.78,0.82,0.92,0.31,1.06,0.92,0.72,0.95
c_1,0.37,0.45,19.76,0.46,1.28,0.64,0.85,1.02,0.91,0.29,0.63,1.03,0.77,0.78,1.02,0.9
d_1,0.45,0.66,0.37,21.87,0.5,0.5,0.98,0.31,0.97,2.22,1.08,0.97,1.04,1.19,1.05,0.77
b_1,0.44,0.45,0.69,0.62,21.88,1.17,0.68,0.68,0.62,0.61,0.23,0.88,1.15,0.57,0.84,0.89
a_1,0.48,0.49,0.57,0.74,0.48,30.18,0.86,0.76,1.08,0.87,1.0,0.87,0.88,0.37,0.9,0.92
h_1,0.62,1.35,0.61,0.64,0.57,0.5,5.61,0.96,1.24,1.13,1.16,1.09,0.54,1.44,1.04,1.47
d_0,0.51,0.75,1.9,0.26,0.82,0.54,1.12,3.18,0.9,0.87,1.03,1.32,1.31,1.13,1.45,1.12
g_1,0.52,0.61,0.6,1.33,0.65,0.49,1.11,1.09,6.5,1.3,1.32,1.67,1.12,1.23,1.39,0.64
c_0,0.65,0.9,0.35,0.92,0.38,0.58,1.41,0.99,1.16,3.97,3.98,1.34,1.36,1.67,1.41,1.36
b_0,0.74,0.7,0.66,0.87,0.25,0.64,1.64,1.09,1.17,1.19,3.86,1.63,1.1,3.56,1.22,1.66
f_0,0.47,0.39,0.71,0.83,0.75,0.9,1.14,1.31,1.28,1.29,1.77,4.41,1.22,1.61,3.68,1.41
h_0,0.69,1.26,0.71,0.64,0.61,0.59,0.52,0.96,1.37,1.02,1.37,1.18,0.64,1.25,1.36,1.65
a_0,0.75,0.72,0.9,0.72,0.47,0.28,1.11,1.31,0.93,1.18,1.33,1.23,1.67,4.86,1.61,1.27
e_0,0.29,0.82,0.76,0.76,0.77,0.74,1.13,1.01,1.34,1.29,1.68,1.48,1.61,1.27,5.82,1.48
g_0,0.67,0.43,0.58,1.56,0.79,0.68,1.12,0.86,0.69,1.13,1.25,2.49,1.58,1.16,1.31,0.72
