,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.07,1.97,3.9,3.56,3.11,2.69,1.3,1.41,1.36,1.02,0.85,1.11,0.75,0.8,1.94,0.64
f_1,3.94,1.07,3.35,2.54,3.13,2.75,0.82,0.93,1.14,0.91,0.87,1.61,0.56,0.82,0.76,0.98
c_1,3.34,3.74,1.07,4.26,3.39,3.19,1.44,0.7,1.58,2.31,1.14,1.01,0.77,0.8,0.88,0.91
d_1,3.75,4.64,3.78,1.07,3.18,2.7,1.42,2.97,0.93,1.15,1.02,1.06,0.95,0.97,0.96,0.52
b_1,4.34,4.59,2.55,4.02,1.07,4.33,1.52,1.06,1.22,1.61,2.59,1.04,1.06,1.18,0.83,0.75
a_1,5.34,6.73,4.22,5.27,2.94,1.07,2.13,1.6,2.16,1.53,1.38,1.47,1.15,2.04,1.29,1.14
h_1,6.75,9.77,7.17,6.77,8.21,6.33,1.39,2.22,2.98,1.9,1.71,2.1,2.97,2.25,1.78,1.51
d_0,4.96,8.96,8.66,13.84,9.56,8.07,3.59,1.63,2.83,3.02,3.04,2.31,2.42,2.28,2.2,2.16
g_1,8.18,9.2,7.82,8.44,10.54,6.15,2.98,2.97,1.4,2.76,2.73,2.57,1.79,2.59,2.01,2.87
c_0,8.7,10.01,16.22,5.21,9.33,7.22,3.66,3.11,3.07,1.56,3.07,2.62,2.37,2.36,2.67,1.88
b_0,9.23,10.08,11.27,9.62,20.12,8.87,4.02,2.88,2.76,1.69,1.66,2.3,1.89,3.53,2.04,2.76
f_0,8.58,21.13,9.35,10.13,9.8,9.19,3.54,2.76,3.12,2.82,2.67,1.61,2.05,2.08,2.73,1.25
h_0,12.11,11.61,13.21,10.36,9.25,11.22,6.49,3.38,4.61,3.44,3.65,3.58,4.49,2.7,3.06,2.13
a_0,14.22,12.24,14.76,11.39,14.9,,3.71,3.94,4.8,3.48,2.13,3.27,2.83,1.68,2.8,2.84
e_0,20.32,16.78,13.51,12.64,16.7,13.08,5.09,3.74,4.57,3.5,4.3,1.97,2.69,3.15,1.69,2.77
g_0,14.37,12.69,14.26,21.3,15.73,13.86,5.49,4.46,7.56,4.14,3.53,6.15,3.09,4.01,3.95,4.93
