,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.41,1.09,0.59,0.72,0.62,0.5,0.9,0.9,0.86,0.77,0.95,0.38,0.86,0.62,0.68,0.8
e_1,0.77,2.5,0.56,0.77,0.52,0.64,0.89,1.67,0.8,0.87,0.87,1.0,0.96,0.65,0.96,0.93
d_1,0.77,0.63,2.74,0.41,0.6,0.66,0.93,0.43,0.92,1.88,1.14,1.01,1.13,1.22,1.3,0.95
c_1,0.66,0.6,0.6,2.87,1.2,0.51,0.91,0.98,0.77,0.34,0.78,0.88,1.05,0.86,0.85,0.77
b_1,0.54,0.67,0.75,0.68,3.25,1.38,0.89,0.79,0.81,0.76,0.38,0.84,0.7,0.62,0.59,0.95
a_1,0.69,0.61,0.76,0.68,0.58,4.43,0.85,0.79,0.92,0.95,0.98,1.28,1.11,1.17,0.62,1.19
h_1,1.13,0.65,0.91,0.81,0.68,0.65,2.65,1.09,1.63,1.14,1.16,0.99,0.82,1.38,1.17,1.55
d_0,0.88,0.77,0.37,1.6,0.79,0.63,1.08,1.98,0.92,0.83,0.97,1.24,1.21,1.36,0.93,1.28
g_1,0.7,0.67,1.29,0.78,0.79,0.68,0.92,0.94,3.16,1.01,1.44,2.07,1.12,1.26,1.27,0.88
c_0,0.86,0.64,0.94,0.57,0.67,0.79,1.28,0.93,1.58,2.27,2.41,1.31,1.3,1.32,1.65,1.39
b_0,0.84,0.87,0.99,0.85,0.37,0.5,1.3,1.16,1.33,1.09,2.39,1.32,1.09,1.5,2.77,1.19
f_0,0.5,0.62,1.11,0.86,0.93,0.72,0.98,0.98,1.34,1.2,1.32,2.63,1.46,2.7,1.32,1.35
h_0,1.02,0.69,0.83,0.79,0.76,0.93,0.71,1.06,1.33,1.14,1.27,1.21,0.86,1.37,1.17,1.5
e_0,0.8,0.4,0.98,0.8,1.01,0.78,1.36,1.3,1.38,1.29,1.35,1.3,1.34,3.4,0.98,1.92
a_0,0.86,0.76,0.98,0.92,0.82,0.29,1.25,1.04,1.08,1.33,1.27,1.23,1.23,1.12,3.03,1.17
g_0,0.62,0.58,1.39,0.8,0.83,0.71,1.21,0.89,1.0,1.09,1.26,2.12,1.15,1.29,1.34,0.97
