,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,22.26,0.62,0.3,0.42,0.34,0.25,0.79,0.83,0.79,0.63,0.78,0.14,0.89,0.6,0.6,0.68
e_1,0.34,23.64,0.31,0.39,0.31,0.4,0.73,1.5,0.66,0.81,0.62,0.88,0.82,0.33,0.8,0.81
d_1,0.35,0.34,26.28,0.22,0.33,0.38,0.79,0.2,0.75,1.73,0.96,0.85,0.91,1.08,1.1,0.81
c_1,0.35,0.3,0.32,27.93,0.69,0.33,0.7,0.95,0.53,0.16,0.71,0.83,1.11,0.71,0.7,0.72
b_1,0.3,0.41,0.37,0.38,32.2,0.79,0.71,0.69,0.68,0.62,0.17,0.64,0.59,0.42,0.44,0.76
a_1,0.35,0.28,0.4,0.35,0.29,46.83,0.67,0.74,0.56,0.88,0.83,1.06,1.08,0.88,0.36,1.24
h_1,1.07,0.44,0.76,0.58,0.55,0.54,9.45,1.24,1.9,1.51,1.34,1.06,0.56,1.74,1.35,2.1
d_0,0.84,0.66,0.15,1.7,0.55,0.5,1.13,4.86,0.78,1.02,1.34,1.62,1.48,1.69,1.18,1.65
g_1,0.51,0.44,1.18,0.59,0.65,0.67,0.86,1.21,11.77,1.16,1.89,3.12,1.49,1.81,1.76,0.7
c_0,0.8,0.5,0.82,0.19,0.58,0.62,1.77,1.23,1.92,6.2,3.88,1.68,2.02,1.79,2.47,1.97
b_0,0.62,0.78,0.73,0.75,0.13,0.39,1.73,1.56,2.1,1.5,6.81,1.84,1.67,2.15,3.81,1.44
f_0,0.29,0.55,1.03,0.58,0.95,0.44,1.03,1.33,1.74,1.68,1.83,6.98,1.85,4.09,1.62,1.97
h_0,0.93,0.55,0.57,0.66,0.57,0.78,0.58,1.36,1.42,1.41,1.71,1.72,0.71,1.77,1.69,2.13
e_0,0.8,0.17,0.69,0.68,0.82,0.53,1.82,2.01,1.48,1.96,2.38,1.99,2.18,9.36,1.2,3.27
a_0,0.83,0.62,0.8,0.69,0.59,,1.65,1.28,1.64,1.73,1.75,1.9,1.57,1.89,8.82,1.8
g_0,0.46,0.48,1.34,0.51,0.76,0.52,1.22,1.07,0.85,1.18,1.56,3.12,1.13,1.66,1.57,0.82
