,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.43,4.52,3.55,3.38,3.2,2.92,1.42,1.3,2.31,1.53,2.43,,1.12,1.38,1.52,1.43
e_1,2.35,0.42,3.62,3.75,2.61,4.17,2.23,1.54,2.29,1.97,1.3,1.68,1.25,2.08,,1.61
d_1,4.05,3.24,0.4,3.39,3.53,3.21,1.61,,1.42,2.19,1.53,1.4,1.6,1.74,1.68,0.82
c_1,3.17,3.55,4.23,0.39,3.68,4.39,2.29,0.9,1.47,,1.86,1.81,1.81,1.49,1.89,1.18
b_1,3.93,3.95,3.94,2.71,0.36,,2.21,1.97,1.69,1.48,,1.03,1.16,,,0.89
a_1,6.09,3.09,3.09,3.05,,0.31,1.6,2.22,,2.33,1.96,1.94,1.09,,,1.56
h_1,1.73,1.69,1.93,1.65,1.69,2.51,0.27,0.88,1.57,0.68,0.68,0.8,,0.58,0.67,0.86
d_0,1.56,1.19,,1.67,1.51,1.28,0.85,0.3,0.79,0.86,0.77,0.63,0.53,0.74,0.54,0.75
g_1,1.48,1.7,2.16,2.76,1.76,,0.6,1.14,0.24,0.83,0.72,0.95,0.69,0.71,0.72,
c_0,1.75,1.36,0.93,,2.08,1.26,0.84,0.82,0.86,0.28,0.8,0.69,0.59,0.7,0.68,0.89
b_0,1.28,2.22,1.53,1.63,,1.57,1.02,0.77,0.7,0.47,0.26,0.74,0.54,0.89,0.8,0.47
f_0,,1.61,1.61,1.36,2.13,1.23,1.04,0.79,0.57,0.76,0.57,0.25,0.65,0.6,0.73,0.39
h_0,1.22,1.46,1.24,0.92,1.55,1.19,,0.59,0.73,0.48,0.52,0.58,,0.71,0.58,0.59
a_0,2.21,1.56,1.24,1.75,,,0.97,0.74,0.91,0.7,0.43,0.81,0.48,0.21,,0.51
e_0,1.97,,1.52,1.76,,,0.79,0.77,0.76,0.68,0.59,0.4,0.5,,0.21,
g_0,1.56,1.21,1.73,1.63,1.55,0.96,0.49,0.47,,0.43,0.78,0.72,0.45,0.57,,
