,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,8968.88,7531.08,6556.77,9807.51,17443.83,61625.97,5393470.46,19013335.32,15741703.03,21377539.58,63588889.05,75726067.82,251502410.22,193598868.98,224323604.16,697899108.09
e_1,4729.48,10545.55,5704.99,11142.62,16546.84,69058.07,6334149.88,31374023.81,16159335.36,22323523.85,67779403.97,123365153.24,305136555.24,230475694.4,279302397.07,771004958.01
d_1,5021.75,4806.59,16693.85,6385.13,15521.2,72096.55,6119762.62,12636011.33,18542528.66,44251488.85,83594996.3,128388230.3,347701940.06,315276073.25,363521166.31,763247498.35
c_1,4267.22,4592.4,6626.9,22170.48,31172.94,69889.89,5843057.81,17826273.78,16385180.21,15096776.26,54692864.18,108048211.01,308963543.75,250450468.79,247280209.69,713482747.63
b_1,3899.48,4729.45,7990.29,8978.51,48912.44,143316.59,6179392.03,16997501.31,17461347.96,20069209.81,39583592.88,127012425.03,271365842.85,256210006.62,227793987.7,736428771.68
a_1,4610.06,4831.43,7682.46,9574.81,17568.95,259151.88,5954804.7,18129573.37,17788319.28,25504653.08,70115233.79,148115307.69,341562401.29,353502711.38,242625477.18,871289637.5
h_1,5730.83,5213.45,8781.15,8838.38,18653.47,68137.3,10540290.61,19045150.58,24577539.87,26195713.84,71355901.85,114880775.5,254201078.99,319467373.77,290424885.24,976648005.61
d_0,4756.71,4765.19,5269.26,16724.24,24009.7,63536.84,6100231.96,28222440.87,15823850.71,17847286.56,62325708.13,133728033.24,314650247.01,304004550.27,274878365.81,816218794.31
g_1,4100.95,4818.67,11530.08,9247.59,19707.35,68224.21,5681834.42,16781254.75,36315318.77,28331960.36,80040787.27,198527424.34,338779011.52,366596590.63,328996940.31,690863394.98
c_0,5064.93,4834.86,9472.01,7523.64,16635.68,73682.3,6973913.17,18758254.45,23565606.23,40976296.42,133913441.0,148499343.89,353852504.91,352016540.47,428286790.91,944665596.69
b_0,5182.17,5618.29,8751.7,10134.11,14071.55,42123.31,7474012.54,20729076.35,19934490.77,27317530.95,116207365.22,134813357.84,358647254.3,325072064.53,620592123.2,802538874.81
f_0,4095.6,4264.3,10003.39,9574.81,22463.22,75780.69,6290209.21,17040096.66,21577961.22,29134255.09,78715727.26,221597085.54,415759477.22,601998159.78,341980175.27,1012484786.37
h_0,5928.53,4759.71,8348.16,9271.27,19404.37,79434.67,5173478.56,17810919.96,22127883.35,27870829.97,78381910.85,138711521.12,286470127.87,320746447.09,310927678.31,930426642.81
e_0,5016.51,4491.89,9375.82,8726.28,21680.49,73205.36,6909601.05,18666925.68,20648710.17,26517092.4,89522202.84,148729575.43,343018748.85,591650695.97,299305646.2,1029597965.64
a_0,5150.64,4998.02,8926.98,10458.22,20334.81,44245.0,6777570.46,19620710.2,19848372.57,30026707.57,83348257.82,147500405.38,363497480.13,309746540.83,584690099.55,723936069.59
g_0,4282.15,4525.79,11439.88,8664.01,19624.22,76095.63,6556802.69,16110925.18,18169488.48,28357004.66,79571492.75,203473686.25,335972931.29,304520425.27,353902115.86,817945574.39
