,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,1.4,1.18,1.39,1.52,1.12,0.47,0.47,0.67,0.44,0.51,0.59,0.32,0.4,0.4,0.46
e_1,1.0,0.66,1.34,1.56,1.25,1.42,0.78,0.63,0.72,0.61,0.44,0.58,0.46,0.52,0.99,0.48
d_1,1.64,1.6,0.65,1.37,1.25,1.21,0.6,0.93,0.44,0.58,0.49,0.41,0.46,0.45,0.49,0.28
c_1,1.35,1.26,2.01,0.64,1.63,1.26,0.7,0.33,0.64,0.72,0.5,0.54,0.46,0.48,0.5,0.44
b_1,1.56,1.87,1.67,0.96,0.62,1.86,0.81,0.63,0.67,0.61,1.04,0.44,0.45,0.48,0.41,0.4
a_1,2.22,1.68,1.79,2.12,0.94,0.57,0.92,0.74,0.78,0.71,0.84,0.74,0.49,1.24,0.77,0.61
h_1,2.26,2.03,2.08,2.07,1.98,1.82,0.58,0.8,1.22,0.72,0.74,0.8,0.87,0.64,0.72,0.61
d_0,2.3,1.47,3.52,2.71,2.43,2.42,1.1,0.63,1.04,0.92,0.77,0.9,0.67,0.85,0.77,0.77
g_1,2.34,2.38,2.59,2.55,2.39,2.02,0.74,1.03,0.56,0.67,0.77,0.85,0.57,0.87,0.7,0.7
c_0,2.71,2.31,1.43,4.09,2.64,2.05,1.15,1.17,1.28,0.61,0.98,0.87,0.72,0.84,0.78,0.69
b_0,2.66,2.76,2.27,2.96,4.48,1.96,1.21,1.03,1.01,0.6,0.61,0.93,0.68,1.04,0.82,0.64
f_0,4.41,2.63,2.79,2.76,3.19,1.97,1.4,1.0,0.74,0.95,0.86,0.6,0.75,0.84,0.94,0.52
h_0,3.29,2.81,2.4,2.64,3.35,2.36,1.6,1.06,1.37,0.98,1.0,0.82,1.01,1.05,0.86,0.89
a_0,4.16,2.68,2.48,2.94,4.01,2.78,1.38,1.31,1.21,0.86,0.6,0.97,0.79,0.58,1.15,0.75
e_0,4.25,3.27,2.55,3.16,3.72,2.37,1.19,1.04,1.26,1.02,0.9,0.57,0.75,0.96,0.56,0.99
g_0,3.29,2.97,3.57,3.58,3.01,2.44,1.14,1.08,1.73,1.08,1.12,1.11,0.76,1.07,0.8,1.0
