,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,12400.99,5617.9,3389.78,3884.2,6807.81,39267.2,4336452.41,8376922.27,12505329.01,14982867.59,8681864.12,29201404.38,82256362.2,79830557.5,128640807.44,203760611.02
e_1,3640.33,12475.6,4861.93,3515.88,6468.85,47361.9,3797594.29,7496454.02,22965682.64,14632116.77,19852767.63,33188869.28,79900788.7,69072979.43,125315929.93,254464281.75
c_1,3167.2,2701.42,16215.45,4188.6,14256.76,30913.62,4393107.78,8454166.71,11700272.63,7023093.71,17592417.06,21932720.0,90622791.72,118192032.87,114313344.37,257793856.34
d_1,3576.77,2742.5,3020.66,18293.22,7001.34,33147.07,4269246.79,8580498.23,7181840.07,33572787.03,20448969.7,33894193.22,93102146.4,119524214.75,113860368.49,323581303.39
b_1,3106.27,2905.6,4251.39,3870.77,36333.31,87848.16,4428351.1,7232503.47,9994133.92,13218098.61,16483902.44,14264860.27,76529614.43,106110306.85,104309915.21,231629654.29
a_1,3331.52,3518.11,4678.43,4235.63,5829.26,314654.42,3983301.3,9861130.36,12585382.01,11362787.96,20546100.05,37933790.69,84956250.21,134211860.79,54774796.02,202121346.25
h_1,5388.97,3732.22,4704.92,5594.01,8407.4,45811.74,11821995.27,14616066.65,13750743.76,17516319.63,20305596.11,35030686.61,70343928.79,145068432.44,125115096.43,394598351.43
g_1,3492.12,2970.52,4431.81,8969.25,7803.51,45625.85,4582508.52,32041088.19,12315695.25,19258766.12,36809467.46,40857853.72,90643212.31,130264453.12,158162223.51,190028616.13
d_0,3669.65,3810.78,8833.13,2535.66,9394.29,53311.42,4492023.34,11602967.26,24727495.1,13463479.64,23678078.08,37353613.8,104314645.51,132220375.84,169710576.34,267623634.38
c_0,4539.32,3907.27,3450.12,6126.84,5202.14,50821.83,4475863.32,10899645.54,15363604.37,39013321.57,20941706.92,86114082.62,125076161.51,159526757.81,177089297.05,382688868.49
f_0,2291.24,3160.85,5810.24,6069.99,10359.51,56187.0,4667881.28,10529057.59,16407742.32,19542758.52,47957333.33,46359658.32,118666008.23,298115628.66,144253989.89,299738470.51
b_0,4005.16,4101.45,5030.21,6717.77,4190.15,35387.67,5435259.38,13271921.33,15797741.92,21595413.48,22151043.64,88092891.11,135103614.68,134023666.07,334268649.41,316882633.5
h_0,5184.22,3625.68,4962.91,5832.62,9178.16,43833.83,3536273.69,15668240.46,13909444.11,19351162.85,22755555.56,38741874.09,79590130.77,142687822.26,169710576.34,403219609.14
e_0,4198.18,2234.07,4691.73,6151.22,9615.62,55603.17,4824683.49,13992103.11,14132422.32,23615280.47,27518346.25,53147331.85,127112285.07,367385588.89,184182020.83,307041068.9
a_0,3663.93,3311.46,5509.38,6817.91,8523.83,28388.43,5822255.37,13096830.02,16194488.17,21611385.14,21884960.42,39280545.91,133211062.25,128273824.39,392259801.78,351653218.79
g_0,3090.3,3264.56,4093.2,8291.43,10518.67,46643.99,4415231.9,8803196.38,13699463.72,21928290.75,36402312.14,43593100.52,118478936.23,180274457.53,158919730.45,190275763.17
