,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.43,1.05,1.17,1.06,1.12,1.03,0.25,0.36,0.26,0.21,0.37,0.24,0.14,0.25,0.23,0.2
e_1,0.7,0.42,1.33,1.27,1.24,1.07,0.33,0.42,0.25,0.25,0.31,0.25,0.19,0.36,0.29,0.19
c_1,1.31,0.93,0.41,1.6,1.16,0.98,0.34,0.34,0.14,0.33,0.23,0.25,0.18,0.24,0.23,0.19
d_1,1.26,1.48,1.29,0.41,1.3,1.2,0.32,0.21,0.41,0.22,0.24,0.21,0.17,0.2,0.2,0.11
b_1,1.43,1.42,0.72,1.45,0.39,1.63,0.4,0.42,0.26,0.44,0.28,0.53,0.2,0.27,0.26,0.17
a_1,1.82,1.48,1.96,1.89,0.85,0.31,0.5,0.51,0.34,0.38,0.34,0.5,0.3,0.33,0.48,0.26
h_1,2.15,2.28,2.15,2.02,1.85,2.05,0.3,0.7,0.45,0.5,0.49,0.47,0.4,0.44,0.39,0.34
g_1,2.75,2.62,2.41,2.37,2.69,1.87,0.51,0.28,0.46,0.5,0.5,0.42,0.25,0.4,0.44,0.43
d_0,2.22,1.48,2.78,3.09,2.85,1.99,0.74,0.85,0.36,0.52,0.52,0.49,0.38,0.54,0.47,0.39
c_0,2.6,2.53,4.49,1.39,2.96,2.93,0.71,0.64,0.69,0.31,0.55,0.51,0.37,0.52,0.51,0.31
f_0,3.54,2.35,2.71,2.42,2.58,1.91,0.73,0.45,0.5,0.57,0.31,0.54,0.39,0.4,0.53,0.23
b_0,2.57,2.78,3.79,2.1,4.21,2.48,0.73,0.74,0.52,0.29,0.49,0.31,0.4,0.47,0.52,0.36
h_0,2.89,3.01,2.85,2.67,2.93,2.8,1.05,0.89,0.58,0.53,0.57,0.49,0.49,0.55,0.46,0.37
e_0,4.35,4.22,2.96,2.89,3.04,2.71,0.86,0.72,0.74,0.56,0.34,0.71,0.43,0.29,0.61,0.31
a_0,3.17,3.04,3.34,3.32,3.57,3.96,0.98,0.82,0.61,0.55,0.65,0.32,0.38,0.56,0.29,0.39
g_0,3.48,3.39,3.38,2.62,3.13,3.78,0.73,1.19,0.75,0.65,0.71,0.78,0.38,0.59,0.63,0.72
