,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.55,0.82,0.47,0.79,0.57,0.59,0.94,1.59,0.86,0.83,1.01,0.92,0.83,1.04,0.66,1.03
f_1,1.13,2.56,0.59,0.66,0.56,0.63,0.72,0.91,0.85,0.89,0.89,0.41,0.89,0.79,0.71,0.79
d_1,0.59,0.73,2.81,0.48,0.75,0.63,0.93,0.45,0.94,1.82,1.08,1.0,1.15,0.98,1.12,0.94
c_1,0.57,0.56,0.72,2.82,1.07,0.54,0.88,0.85,0.88,0.44,0.73,1.08,1.08,0.92,1.0,0.84
b_1,0.59,0.57,0.75,0.68,3.19,1.16,0.82,0.83,0.81,0.84,0.44,0.88,0.83,0.74,0.94,1.02
a_1,0.61,0.65,0.79,0.68,0.64,4.43,0.95,1.03,0.99,0.85,1.08,0.96,1.02,0.51,0.81,0.97
h_1,0.8,1.2,0.83,0.67,0.58,0.67,2.73,0.99,1.35,0.91,1.23,1.14,0.81,1.32,0.98,1.51
d_0,0.87,0.84,0.43,1.54,0.65,0.74,1.14,1.93,1.02,0.78,1.13,1.13,1.1,0.84,1.1,1.23
g_1,0.67,0.68,1.18,0.74,0.88,0.67,1.14,1.06,3.24,0.98,1.03,1.87,1.17,1.21,1.07,0.72
c_0,0.83,0.9,0.95,0.51,0.6,0.65,1.24,1.07,1.02,2.37,2.15,1.32,1.19,1.38,1.3,1.25
b_0,0.81,0.97,0.88,0.93,0.39,0.66,1.14,1.17,1.15,1.03,2.21,1.2,1.34,2.58,1.27,1.3
f_0,0.72,0.53,1.03,0.81,0.88,0.68,1.5,1.03,1.16,1.05,1.45,2.55,1.13,1.37,2.52,1.38
h_0,0.61,1.07,0.82,0.77,0.86,0.78,0.74,1.04,1.4,1.21,1.3,1.29,0.8,1.15,1.2,1.48
a_0,0.75,0.89,0.99,0.84,0.6,0.61,1.36,1.08,1.33,1.22,1.23,1.11,1.43,3.21,1.52,1.19
e_0,0.44,0.94,0.82,0.94,0.75,0.81,1.6,1.17,1.13,1.17,1.36,1.16,1.53,1.3,3.12,1.42
g_0,0.64,0.57,1.24,0.93,0.75,0.74,1.27,0.91,0.52,1.07,1.37,1.97,1.13,1.01,1.33,1.0
