,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,1.17,2.21,2.24,2.16,2.16,0.52,0.39,0.65,0.38,0.36,0.48,0.43,0.46,1.05,0.35
f_1,1.57,0.44,1.77,2.34,2.3,2.04,0.39,0.4,0.7,0.36,0.35,0.81,0.21,0.35,0.32,0.38
d_1,2.92,2.28,0.42,1.84,1.83,1.78,0.59,1.35,0.43,0.42,0.45,0.36,0.33,0.36,0.41,0.19
c_1,1.77,2.05,2.9,0.41,2.05,1.97,0.71,0.23,0.6,0.92,0.4,0.38,0.31,0.45,0.41,0.26
b_1,2.57,2.65,1.85,1.43,0.39,2.19,0.85,0.57,0.51,0.53,1.2,0.47,0.28,0.61,0.49,0.39
a_1,2.78,2.75,2.78,3.26,1.52,0.33,0.98,0.67,0.82,0.71,0.74,0.68,0.51,1.39,0.55,0.44
h_1,3.1,3.98,3.14,3.35,3.45,3.21,0.33,0.68,0.94,0.65,0.69,0.53,0.78,0.53,0.46,0.43
d_0,2.02,3.45,6.91,3.84,3.89,3.49,1.14,0.41,1.13,0.86,0.74,0.88,0.54,0.78,0.7,0.67
g_1,3.82,3.74,3.63,3.74,4.15,3.12,0.91,0.82,0.31,0.79,0.83,0.82,0.43,0.69,0.67,1.55
c_0,4.45,3.93,1.99,8.26,4.13,4.34,1.23,1.13,1.31,0.37,0.87,0.87,0.48,0.88,0.8,0.53
b_0,3.73,4.37,3.41,4.79,8.21,3.43,1.11,0.83,1.14,0.48,0.39,0.62,0.48,0.79,0.79,0.49
f_0,4.42,9.39,3.71,3.49,4.36,3.71,1.15,0.84,0.76,0.75,0.76,0.36,0.51,0.85,1.02,0.33
h_0,5.08,4.58,3.61,3.72,4.79,4.09,2.19,0.97,1.2,0.92,0.77,0.97,1.03,0.73,0.71,0.73
a_0,4.3,5.41,4.79,5.26,5.3,9.12,1.27,1.27,1.34,0.93,0.49,0.81,0.7,0.32,0.78,0.84
e_0,7.07,6.55,4.1,4.95,4.95,5.35,1.5,1.15,1.45,0.97,1.09,0.52,0.65,0.91,0.33,0.72
g_0,4.59,5.85,5.16,5.34,4.62,4.63,1.06,0.9,2.58,1.06,1.01,0.99,0.55,1.06,0.89,1.03
