,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.76,1.32,0.71,0.79,0.63,0.77,0.85,0.8,0.87,1.02,0.99,0.59,0.93,0.92,1.02,0.75
e_1,0.88,1.81,0.7,1.05,0.77,0.67,0.9,0.88,0.94,1.56,0.95,1.01,0.96,0.98,0.95,0.72
d_1,0.89,0.75,1.9,0.68,0.82,0.68,1.06,1.62,0.98,0.64,1.17,1.01,1.02,1.01,1.0,1.15
c_1,0.77,0.67,0.83,1.93,1.38,0.84,0.91,0.68,0.74,0.89,0.7,1.01,0.99,0.81,0.98,0.98
b_1,0.84,0.75,0.85,0.79,2.14,1.45,0.99,0.89,1.02,0.85,0.74,1.04,1.01,0.84,0.87,0.96
a_1,0.75,0.8,0.98,0.82,0.83,3.06,1.02,1.05,1.12,0.91,1.0,1.04,1.17,0.96,1.04,1.01
h_1,1.11,0.81,1.0,0.78,0.73,0.78,1.7,0.97,1.38,1.0,1.14,1.01,0.9,0.96,1.31,1.06
c_0,1.01,0.86,0.92,0.76,0.58,0.85,1.17,1.47,1.18,1.02,1.89,1.24,1.21,1.39,1.16,1.26
g_1,0.8,0.74,1.25,0.87,0.86,0.77,1.02,1.08,2.1,0.87,1.04,1.5,0.9,1.15,0.75,1.16
d_0,0.87,0.73,0.7,1.42,0.92,0.67,1.05,0.74,1.07,1.44,1.05,1.05,0.94,1.14,1.08,1.05
b_0,0.94,0.97,0.93,0.84,0.62,0.7,1.05,1.06,1.05,1.02,1.79,1.11,1.13,2.06,1.12,1.01
f_0,0.76,0.61,1.12,0.88,0.9,0.84,1.29,1.13,1.13,0.97,1.09,1.82,0.98,1.21,1.1,2.31
h_0,1.11,0.91,0.93,0.87,0.75,0.75,0.85,0.93,1.34,0.93,1.07,0.99,0.81,1.0,1.23,0.92
a_0,0.94,0.89,0.98,0.96,0.86,0.59,1.13,1.08,0.95,1.06,1.03,1.08,1.1,1.88,0.93,1.08
g_0,0.77,0.81,1.24,0.91,0.83,0.7,1.02,1.01,0.92,0.93,1.07,1.49,1.05,1.02,0.88,1.29
e_0,0.9,0.72,1.05,0.89,0.86,0.89,1.13,1.05,0.9,0.92,0.96,1.12,1.11,0.99,1.11,2.17
