,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,15.85,1.38,0.44,0.47,0.4,0.65,0.74,0.76,0.8,0.82,0.98,0.35,0.95,0.81,0.95,0.62
e_1,0.69,16.11,0.41,0.73,0.49,0.46,0.92,0.92,0.91,2.13,0.93,1.08,1.02,1.11,0.95,0.54
d_1,0.57,0.48,18.42,0.46,0.63,0.46,0.98,2.18,0.81,0.32,1.06,1.03,0.94,0.92,0.92,1.23
c_1,0.49,0.43,0.61,17.77,1.4,0.57,0.86,0.33,0.73,0.81,0.62,0.85,0.98,0.76,0.99,0.9
b_1,0.5,0.47,0.65,0.64,19.55,1.34,0.91,0.74,0.68,0.8,0.42,0.96,0.87,0.87,0.77,0.91
a_1,0.48,0.55,0.67,0.6,0.54,31.92,0.9,0.95,1.11,0.84,1.04,1.04,1.13,0.48,0.94,0.91
h_1,1.18,0.58,0.93,0.62,0.62,0.68,4.89,1.04,1.63,1.26,1.38,1.1,0.66,0.92,1.91,1.03
c_0,0.99,0.6,0.75,0.49,0.45,0.78,1.28,3.11,1.69,1.37,3.49,1.58,1.4,1.52,1.2,1.48
g_1,0.64,0.6,1.31,0.72,0.7,0.59,1.12,1.15,6.44,0.92,1.04,2.03,0.95,1.27,0.59,1.2
d_0,0.72,0.55,0.43,2.17,0.67,0.6,1.07,0.73,1.21,2.97,1.38,1.16,1.14,1.41,1.55,1.36
b_0,0.99,0.69,0.87,0.8,0.3,0.58,0.99,1.12,1.21,1.33,4.07,1.31,1.48,3.53,1.43,1.1
f_0,0.44,0.41,0.97,0.86,0.78,0.76,1.38,1.3,1.29,1.18,1.12,3.89,1.13,1.35,1.16,4.07
h_0,1.42,0.66,0.73,0.74,0.59,0.61,0.66,1.12,1.98,1.0,1.2,1.1,0.76,1.14,1.44,0.91
a_0,0.77,0.66,1.1,0.78,0.81,0.34,1.28,1.14,1.02,1.38,1.18,1.33,1.37,4.17,1.12,1.54
g_0,0.64,0.59,1.37,0.82,0.67,0.52,1.1,1.21,0.92,1.07,1.28,2.29,1.18,1.02,0.79,1.63
e_0,0.9,0.44,0.94,0.95,0.81,0.7,1.05,1.41,0.87,1.15,1.04,1.29,1.4,1.06,1.37,4.8
