,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.11,3.56,4.1,4.66,4.42,4.71,0.9,0.74,1.25,0.83,0.73,1.44,0.41,0.82,0.71,0.75
e_1,2.42,1.12,5.01,5.48,5.02,4.46,1.46,1.01,1.47,1.07,0.96,1.42,0.73,0.98,0.72,1.81
d_1,5.67,5.94,1.11,4.32,4.05,3.98,1.09,0.96,0.88,1.92,1.01,0.86,0.66,0.72,0.44,0.82
c_1,5.46,3.91,5.55,1.12,4.25,4.45,1.58,1.7,1.37,0.55,0.97,0.85,0.67,0.99,0.69,0.82
b_1,7.62,6.57,5.29,2.96,1.14,5.98,1.85,1.74,1.75,1.37,3.39,1.21,1.09,1.16,0.89,1.11
a_1,7.91,10.79,10.94,8.83,4.32,1.15,2.41,2.01,2.94,2.23,2.22,1.82,1.4,3.95,1.67,1.93
h_1,16.56,13.56,13.71,13.82,13.08,13.62,1.7,2.82,3.92,3.24,3.46,2.63,3.48,2.95,2.17,3.1
c_0,21.23,20.34,9.82,34.4,21.49,18.3,6.08,2.16,5.16,6.3,4.3,3.62,2.75,4.12,2.67,3.25
g_1,20.42,19.03,19.48,22.62,22.95,15.36,4.21,3.06,1.77,3.9,4.14,3.35,1.92,4.12,3.46,4.59
d_0,20.88,10.63,41.29,21.17,23.15,21.83,5.51,3.76,6.57,2.28,3.87,4.13,3.48,3.79,2.93,3.72
b_0,23.06,21.19,18.85,34.04,38.14,19.91,6.17,2.4,6.99,4.42,2.17,4.48,3.14,5.23,3.18,4.53
f_0,50.78,22.4,22.09,26.42,21.49,20.36,7.49,4.23,4.28,4.97,4.37,2.25,3.43,4.9,1.98,4.29
h_0,28.47,27.87,29.64,26.85,28.51,24.16,13.48,5.8,10.48,6.36,5.35,6.3,6.33,5.61,4.32,5.4
a_0,37.58,27.43,31.82,37.52,37.61,42.14,12.17,5.96,7.93,6.0,3.16,5.75,5.36,2.58,5.19,6.98
g_0,33.26,33.07,36.89,32.37,37.1,30.2,6.59,7.83,17.11,6.36,6.58,8.14,4.4,6.91,7.12,6.7
e_0,55.26,54.45,28.66,39.31,36.59,34.85,11.84,6.66,9.85,6.77,9.1,3.37,6.97,7.59,4.08,2.6
