,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,9207.32,259.54,160.5,210.51,494.69,3037.15,164300.5,567839.81,383488.15,712659.2,1484619.42,,7970017.25,6834435.34,11766149.22,8035175.75
e_1,117.07,12438.55,116.61,217.81,417.15,1612.55,157020.96,619275.53,446001.89,1491898.09,1437388.37,1683677.78,7934265.9,5443022.32,11423324.11,
d_1,134.79,157.17,13749.33,222.27,646.42,1998.18,195843.55,947930.84,554074.76,,1324865.95,1274754.62,5037948.72,5289958.81,12021479.9,13604829.18
c_1,138.35,130.32,235.55,17575.66,761.72,2345.53,201014.35,,457230.34,857423.31,1192688.87,1338839.8,6614024.13,3611334.08,13391032.34,12574125.34
b_1,121.61,158.9,234.46,239.7,47328.4,4365.3,193805.43,617632.62,430813.88,791188.56,,1277619.98,6221425.48,6774585.36,8397440.37,7666130.33
a_1,105.53,158.32,192.72,235.09,422.46,353188.62,178894.41,700237.52,,1055728.99,996156.3,1591149.23,5854172.67,,7669332.65,
h_1,533.61,654.95,724.8,717.84,1685.28,11633.25,7718016.13,2436006.85,2976932.01,2969924.72,5057695.2,5266050.07,,13612585.78,62013669.85,32316128.49
c_0,473.56,831.2,872.66,,1787.39,10902.41,986254.66,19453228.16,2957143.22,3979455.11,14629489.82,8568090.38,38941172.69,25896431.34,41298159.76,56085049.15
g_1,621.07,706.14,805.86,936.22,2187.12,,688684.52,2306964.33,34313058.42,1530384.74,6058859.48,8279851.03,16319632.11,16934378.91,,
d_0,684.86,699.13,,1786.08,2493.18,8332.04,849467.18,2811159.36,2373859.39,24784532.71,8514317.07,8764330.18,31395518.68,38941083.57,59591898.62,62315251.55
b_0,778.29,971.99,407.0,854.49,,8958.88,480609.06,3063276.81,3393599.18,4484643.92,53796420.96,15137482.75,30856447.27,,43962668.07,48391330.87
f_0,,488.06,930.18,1227.06,2377.31,13099.61,817030.06,3706842.49,3113472.22,3905518.71,7754920.17,61405727.49,33027610.86,38147702.95,47763638.97,110595688.13
h_0,1499.51,1372.58,1443.01,1844.07,2485.37,13652.65,,5105124.41,5582028.64,5491811.26,10991950.01,8277021.28,,32916705.41,102760384.04,63209728.84
a_0,658.83,741.26,1271.49,1100.73,2543.16,,638182.21,2831545.36,2659927.01,4152206.65,,8443369.68,43533902.36,296278700.72,45702520.7,
g_0,965.78,1066.87,1880.28,1341.14,3615.08,17967.13,1360752.16,3654282.33,,4637529.51,9945097.63,22239269.3,46412176.89,37904085.02,,67587891.88
e_0,539.11,,1042.41,1089.93,2285.05,,921554.17,4648360.95,,5025143.92,5877998.0,10901509.62,33527602.41,,64110209.74,597163468.11
