,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.52,1.12,0.61,0.66,0.57,0.49,0.81,0.73,0.83,0.88,0.97,0.48,0.99,0.92,0.6,0.88
e_1,0.73,2.6,0.81,0.53,0.62,0.54,0.9,0.93,1.71,0.95,1.05,0.91,0.91,0.98,0.46,1.02
c_1,0.62,0.52,2.76,0.74,1.14,0.6,0.83,0.88,0.91,0.3,0.75,0.91,1.04,0.85,1.04,0.91
d_1,0.72,0.61,0.52,2.79,0.68,0.61,0.96,0.92,0.4,1.74,1.21,1.01,1.0,1.01,1.01,0.89
b_1,0.65,0.59,0.69,0.61,3.1,1.25,0.94,0.9,0.95,0.91,0.34,1.0,0.83,0.86,1.09,0.97
a_1,0.65,0.76,0.59,0.84,0.55,4.49,0.99,0.89,0.77,0.94,0.92,0.98,0.85,0.4,0.92,0.65
h_1,1.02,0.75,0.79,0.86,0.76,0.6,2.66,1.43,1.03,1.07,1.06,1.09,0.73,1.13,1.18,1.83
g_1,0.71,0.5,0.84,1.32,0.75,0.75,1.06,3.28,0.95,1.12,1.22,2.0,1.12,1.34,1.65,0.83
d_0,0.72,0.77,1.57,0.43,0.74,0.76,1.1,0.95,1.94,0.8,1.28,1.17,1.22,0.98,1.27,1.37
c_0,1.01,0.75,0.52,0.9,0.59,0.92,1.28,0.92,1.13,2.01,2.26,1.2,1.25,1.43,1.42,1.09
b_0,0.92,0.88,0.88,0.84,0.43,0.66,1.07,1.19,1.07,1.17,2.4,1.09,1.44,2.48,1.28,1.38
f_0,0.55,0.58,1.01,0.81,0.77,0.94,1.42,1.28,1.34,1.26,0.99,2.69,1.38,0.85,3.0,1.45
h_0,1.17,0.8,0.85,0.84,0.73,0.69,0.58,1.54,1.0,0.96,1.1,1.2,0.85,1.23,0.97,1.73
a_0,0.92,0.88,0.88,0.82,0.83,0.61,1.17,0.83,0.8,0.99,1.15,1.05,1.33,3.02,0.71,1.22
e_0,0.93,0.43,0.85,0.75,0.83,0.96,1.25,1.41,1.33,1.05,1.15,1.46,1.59,1.2,3.42,1.27
g_0,0.71,0.7,0.87,1.26,0.69,0.74,0.99,0.95,1.0,1.11,0.95,1.93,1.29,1.18,1.36,0.76
