,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11011.51,5455.52,3945.84,4412.23,6989.75,28869.96,2974895.48,7658611.33,12981739.81,15480940.45,23711925.08,16742657.67,105844298.8,88397645.86,88142487.52,209323912.66
e_1,3165.43,12640.18,5242.45,3593.65,7564.47,31995.22,3281127.6,9691600.3,26640651.25,16638693.26,25691836.69,32114575.46,97225250.52,94777654.76,66724461.61,241942421.61
c_1,2685.21,2522.09,17774.3,4954.37,13903.91,35360.49,3019037.86,9168590.22,14231840.97,5222682.67,18369073.75,32094816.74,111625173.3,81677945.35,152295066.25,214353176.77
d_1,3128.04,2948.33,3357.47,18752.99,8313.48,36269.88,3513442.67,9594196.12,6163886.13,30616916.32,29565121.93,35640051.28,107263728.59,97459355.83,146536464.81,210483022.74
b_1,2825.1,2852.39,4445.41,4083.79,37919.55,73542.37,3451010.35,9433056.13,14751008.96,16006984.75,8198291.65,35130973.48,89228122.36,83081161.53,158285997.89,230654105.99
a_1,2857.07,3713.97,3781.01,5630.36,6689.47,265168.9,3610677.44,9290799.95,11959481.13,16545045.23,22434698.94,34417908.26,91368453.46,39037329.08,134338456.53,154959288.75
h_1,4448.76,3625.86,5107.15,5782.22,9233.46,35479.21,9743530.09,14875112.27,16092643.98,18897742.98,25945459.65,38268086.93,77971148.19,108858445.21,172044307.15,434163241.83
g_1,3082.01,2420.79,5413.75,8898.92,9108.46,44101.9,3868711.74,34217013.51,14799280.7,19745741.37,29805674.89,70485237.04,119988657.05,128972991.37,240633704.23,197207379.71
d_0,3139.79,3744.9,10115.24,2870.6,9046.88,44807.26,4013336.48,9938923.18,30250160.05,14140498.66,31332171.14,41171283.32,131068874.69,94443114.08,184427659.07,323367783.61
c_0,4419.28,3632.1,3325.36,6017.14,7182.0,54436.45,4699697.24,9559233.98,17578599.87,35407990.22,55229006.58,42087493.06,134216687.09,137874819.03,207329736.69,258423050.05
b_0,4032.35,4292.37,5661.53,5658.1,5208.04,38780.0,3903881.84,12367109.22,16651354.42,20540934.89,58739141.62,38210417.97,154124154.4,239338733.84,186741583.98,327049522.07
f_0,2415.6,2833.95,6486.54,5447.43,9450.12,55426.32,5190131.93,13348195.42,20819745.95,22232460.32,24223571.62,94523554.87,147855716.05,82056066.5,437836668.3,342860639.27
h_0,5092.85,3895.74,5487.28,5671.88,8963.11,40654.07,2130094.26,16036373.66,15548380.09,16890040.06,26957577.07,42095349.9,90653681.84,118631669.59,141192723.85,408639843.7
a_0,4026.41,4284.55,5691.49,5519.28,10172.91,35799.34,4285753.47,8681345.14,12408066.87,17344749.58,28032017.0,36978708.1,142081632.63,291570683.65,103102191.85,288713108.1
e_0,4052.39,2080.91,5482.13,5021.59,10081.67,56930.21,4558834.38,14736997.34,20689421.3,18494385.16,28126161.66,51279450.38,170158409.52,116041140.36,498598828.62,300153202.69
g_0,3116.06,3426.07,5611.32,8494.92,8483.4,43501.24,3628960.59,9928524.3,15630263.78,19597536.17,23112411.79,67904087.51,138641123.78,113863810.78,198769408.75,179018784.49
