,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.43,1.11,1.18,1.03,1.14,1.05,0.26,0.37,0.28,0.19,0.21,0.34,0.12,0.21,0.2,0.19
e_1,0.73,0.42,1.41,1.19,1.24,1.04,0.35,0.48,0.26,0.26,0.24,0.34,0.18,0.23,0.4,0.2
c_1,1.27,0.96,0.41,1.56,1.14,1.2,0.35,0.32,0.14,0.33,0.23,0.21,0.18,0.25,0.23,0.16
d_1,1.2,1.44,1.15,0.41,1.3,0.97,0.32,0.21,0.38,0.23,0.26,0.26,0.18,0.26,0.27,0.12
b_1,1.4,1.34,0.79,1.28,0.39,1.4,0.38,0.4,0.29,0.4,0.47,0.3,0.22,0.28,0.27,0.2
a_1,2.21,1.76,1.58,1.66,0.8,0.32,0.57,0.47,0.33,0.28,0.43,0.28,0.25,0.4,0.27,0.23
h_1,2.19,2.0,2.16,2.02,1.83,1.72,0.31,0.62,0.45,0.41,0.48,0.38,0.51,0.4,0.39,0.34
g_1,2.71,2.45,2.33,2.4,2.29,2.39,0.56,0.28,0.52,0.49,0.51,0.47,0.27,0.59,0.42,0.36
d_0,2.58,1.42,2.81,3.63,2.45,2.28,0.74,0.81,0.35,0.53,0.55,0.48,0.42,0.64,0.5,0.44
c_0,2.45,2.65,4.52,1.42,2.47,2.25,0.73,0.71,0.78,0.34,0.52,0.52,0.38,0.54,0.64,0.33
b_0,2.58,2.38,3.6,1.85,3.62,2.26,0.77,0.71,0.56,0.29,0.31,0.58,0.39,0.45,0.55,0.41
f_0,3.63,2.55,2.88,2.4,2.66,2.42,0.79,0.48,0.53,0.52,0.61,0.3,0.35,0.62,0.48,0.26
h_0,2.95,3.15,2.85,2.72,3.12,2.8,1.1,0.83,0.54,0.57,0.52,0.56,0.5,0.48,0.49,0.38
a_0,3.3,3.12,3.15,2.31,3.05,3.68,0.9,0.79,0.73,0.55,0.35,0.91,0.43,0.29,0.67,0.43
e_0,4.43,4.26,3.04,2.9,2.9,3.13,0.93,0.68,0.67,0.64,0.68,0.32,0.58,0.85,0.29,0.39
g_0,3.34,3.13,3.1,3.05,3.17,3.77,0.66,1.11,0.59,0.67,0.69,0.61,0.35,0.66,0.55,0.63
