,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,2.18,0.78,0.71,0.58,0.71,0.67,0.95,1.05,1.73,1.26,0.64,1.04,1.06,1.04,1.03,1.11
f_1,0.72,2.14,1.32,0.68,0.65,0.74,0.97,0.78,0.77,0.89,0.92,0.53,0.79,0.91,0.69,0.78
e_1,0.63,0.83,2.14,0.97,0.73,0.66,0.9,0.87,0.86,0.89,1.75,0.94,1.0,0.87,0.65,0.91
c_1,0.78,0.7,0.63,2.32,1.42,0.71,0.89,0.92,0.54,0.66,0.92,1.1,0.88,0.9,0.91,0.9
b_1,0.8,0.81,0.72,0.71,2.5,1.39,0.89,0.81,0.85,0.64,0.64,0.92,0.96,0.83,0.95,0.99
a_1,0.79,0.79,0.77,0.83,0.6,3.23,1.02,1.01,1.0,1.14,1.0,0.83,1.14,0.85,1.16,0.96
h_1,0.95,1.12,0.72,0.77,0.75,0.78,2.02,1.32,0.95,1.02,0.82,1.02,0.72,1.06,0.99,1.45
g_1,1.32,0.8,0.64,0.75,0.7,0.73,0.97,2.37,1.17,0.98,0.82,1.67,1.2,1.0,1.33,0.79
c_0,0.95,0.86,0.77,0.73,0.58,0.78,1.07,1.06,1.74,2.09,1.05,1.25,1.28,1.51,1.2,1.24
b_0,0.89,0.92,0.83,0.96,0.59,0.57,1.26,1.1,1.01,1.77,1.16,1.23,1.27,2.0,1.24,1.16
d_0,0.46,0.72,0.83,1.67,0.87,0.63,1.14,1.06,0.77,0.94,1.69,1.22,1.03,0.98,1.12,1.05
f_0,0.96,0.71,0.62,0.99,0.83,0.73,1.04,1.18,1.1,1.27,1.03,1.98,1.3,1.1,2.43,1.2
h_0,1.05,0.99,0.73,0.87,0.72,0.68,0.91,1.5,1.01,1.13,1.05,1.18,0.87,1.07,1.38,1.45
a_0,1.02,0.87,0.78,0.92,0.81,0.55,1.17,1.07,0.99,1.14,1.04,1.3,1.33,2.32,1.09,1.35
e_0,0.96,0.93,0.48,1.04,0.93,0.7,1.02,1.23,1.03,1.25,0.81,1.09,1.43,1.35,2.57,1.47
g_0,1.3,0.75,0.69,0.92,0.83,0.77,1.04,0.79,1.01,1.05,0.85,1.69,1.01,0.9,1.16,0.82
