,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,19.17,0.61,0.41,0.4,0.54,0.52,0.83,0.99,2.23,1.21,0.35,1.11,0.98,0.9,1.09,1.2
f_1,0.46,17.89,1.18,0.47,0.45,0.61,0.85,0.67,0.69,0.91,0.77,0.25,0.75,0.88,0.75,0.8
e_1,0.46,0.58,18.06,0.74,0.54,0.47,0.85,0.73,0.77,0.82,2.24,0.92,0.92,0.83,0.3,0.69
c_1,0.54,0.42,0.48,20.14,1.25,0.42,0.8,0.96,0.27,0.64,1.0,1.16,0.85,0.91,0.89,0.91
b_1,0.51,0.6,0.47,0.46,21.91,1.24,0.82,0.71,0.86,0.31,0.6,0.87,0.86,0.91,0.85,1.03
a_1,0.58,0.54,0.62,0.57,0.32,30.24,1.02,0.86,0.94,1.27,1.03,0.72,1.42,0.48,1.33,0.95
h_1,0.9,1.03,0.52,0.72,0.57,0.57,5.58,1.62,0.99,1.11,0.75,0.96,0.53,1.13,1.13,1.76
g_1,1.44,0.54,0.51,0.6,0.56,0.61,1.06,6.66,1.16,0.96,0.8,2.16,1.41,1.06,1.14,0.51
c_0,0.8,0.77,0.59,0.38,0.49,0.7,1.19,1.15,3.51,3.49,1.25,1.53,1.46,1.58,1.26,1.28
b_0,0.75,0.85,0.66,0.83,0.32,0.46,1.25,1.26,1.17,3.4,1.22,1.3,1.52,2.59,1.32,1.09
d_0,0.27,0.56,0.7,2.3,0.61,0.52,1.23,1.07,0.83,1.06,3.1,1.38,1.26,1.28,1.27,1.22
f_0,0.74,0.46,0.47,0.87,0.85,0.64,1.1,1.25,1.14,1.31,1.11,3.93,1.59,0.98,3.04,1.35
h_0,0.9,0.88,0.62,0.73,0.65,0.52,0.76,1.73,1.09,1.31,1.11,1.37,0.7,1.18,1.64,1.65
a_0,0.9,0.71,0.53,0.78,0.71,0.27,1.42,1.34,1.06,1.48,1.27,1.48,1.69,5.05,1.26,1.74
e_0,0.79,0.8,0.21,1.0,0.74,0.64,1.09,1.36,1.22,1.52,0.91,1.34,1.77,1.88,5.27,1.48
g_0,1.23,0.57,0.53,0.73,0.82,0.61,1.37,0.74,1.3,1.2,0.91,2.19,1.15,0.88,1.4,0.82
