,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.16,0.99,1.11,1.61,2.52,15.51,19.1,33.62,33.16,34.52,45.84,55.6,60.42,75.43,93.72
f_1,0.87,1.0,1.3,1.28,1.37,2.73,15.01,23.31,21.01,28.16,32.98,29.27,51.23,61.62,64.43,105.63
e_1,1.01,0.76,1.0,1.45,1.62,2.27,19.37,23.98,23.47,29.09,45.14,48.83,64.11,70.37,83.12,106.03
c_1,0.9,0.79,0.69,1.0,1.86,1.82,13.12,19.74,15.89,19.92,18.48,35.8,46.75,52.6,51.37,84.33
b_1,0.62,0.73,0.61,0.53,1.0,3.01,11.47,14.39,16.28,17.84,19.14,24.72,38.98,42.85,45.56,65.24
a_1,0.39,0.37,0.44,0.55,0.33,1.0,8.17,9.54,9.16,15.34,15.47,16.38,30.91,33.3,34.93,41.44
h_1,0.06,0.07,0.05,0.08,0.08,0.13,1.0,1.57,1.3,1.65,1.54,2.44,2.91,3.6,4.32,6.56
g_1,0.05,0.04,0.04,0.05,0.07,0.11,0.62,1.0,1.0,1.14,1.22,2.36,2.39,2.73,2.85,3.8
c_0,0.03,0.05,0.04,0.06,0.06,0.11,0.78,0.94,1.0,1.84,1.53,2.13,2.77,3.36,3.29,4.42
b_0,0.03,0.04,0.03,0.05,0.05,0.06,0.59,0.86,0.55,1.0,1.14,1.46,2.1,2.6,2.39,3.25
d_0,0.03,0.03,0.02,0.06,0.05,0.07,0.64,0.81,0.63,0.88,1.0,1.43,1.92,2.02,2.61,3.39
f_0,0.02,0.03,0.02,0.03,0.04,0.06,0.41,0.43,0.49,0.69,0.7,1.0,1.46,1.31,2.53,1.94
h_0,0.02,0.02,0.02,0.02,0.03,0.03,0.33,0.42,0.35,0.49,0.51,0.7,1.0,0.98,1.26,2.04
a_0,0.02,0.02,0.01,0.02,0.02,0.03,0.29,0.39,0.31,0.37,0.48,0.79,1.05,1.0,1.03,1.98
e_0,0.01,0.02,0.01,0.02,0.02,0.03,0.22,0.33,0.31,0.42,0.38,0.4,0.84,1.03,1.0,1.42
g_0,0.01,0.01,0.01,0.01,0.02,0.02,0.15,0.26,0.23,0.32,0.28,0.51,0.5,0.48,0.73,1.0
