,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.42,1.98,1.95,1.77,1.73,1.61,0.4,0.29,0.36,0.35,0.79,0.33,0.21,0.3,0.32,0.16
f_1,1.57,0.42,1.55,2.01,1.55,1.71,0.38,0.62,0.36,0.32,0.42,0.51,0.22,0.34,0.34,0.3
e_1,2.05,0.94,0.42,1.95,1.84,1.54,0.61,0.62,0.42,0.38,0.36,0.48,0.3,0.45,1.02,0.34
c_1,2.33,2.06,1.42,0.4,2.02,1.59,0.51,0.56,0.66,0.34,0.18,0.32,0.26,0.39,0.31,0.26
b_1,1.92,2.21,1.92,0.95,0.39,2.78,0.64,0.62,0.5,0.76,0.44,0.35,0.31,0.4,0.39,0.25
a_1,2.3,2.06,2.59,2.59,1.12,0.34,0.81,0.72,0.46,0.62,0.62,0.54,0.41,1.2,0.52,0.35
h_1,2.92,2.7,2.82,3.05,2.79,2.41,0.33,0.83,0.59,0.53,0.53,0.63,0.51,0.54,0.59,0.38
g_1,2.72,3.79,3.35,3.0,3.46,2.8,0.64,0.3,0.65,0.56,0.64,0.58,0.32,0.61,0.51,0.62
c_0,1.58,4.1,3.46,6.24,3.32,3.2,0.92,0.75,0.36,0.69,0.77,0.7,0.48,0.71,0.67,0.48
b_0,2.58,3.38,3.47,4.69,5.15,2.73,0.89,1.02,0.36,0.37,0.75,0.63,0.46,0.52,0.58,0.45
d_0,5.65,3.3,1.67,3.24,4.78,3.16,1.23,1.26,0.72,0.65,0.37,0.65,0.51,0.68,0.85,0.58
f_0,3.2,6.62,3.79,3.12,3.56,3.99,1.07,0.61,0.64,0.69,0.66,0.34,0.46,0.65,0.79,0.32
h_0,3.42,4.61,3.66,4.31,3.85,3.09,1.9,0.94,0.7,0.69,0.77,0.67,0.82,0.67,0.65,0.62
a_0,3.68,3.93,4.01,4.3,4.15,4.89,1.05,1.12,0.68,0.47,0.75,1.0,0.58,0.32,0.7,0.67
e_0,3.29,5.44,7.79,4.27,4.07,3.4,1.06,0.99,0.83,0.73,0.78,0.35,0.47,0.79,0.31,0.51
g_0,3.64,5.34,4.76,4.86,4.13,4.61,0.8,1.96,0.89,1.0,0.99,0.8,0.5,0.73,0.79,0.88
