,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,12.09,0.59,1.71,0.67,0.57,0.49,0.79,0.77,0.76,0.93,0.89,0.56,0.89,0.88,0.61,0.84
d_1,0.77,15.25,0.55,0.49,0.58,0.67,1.0,1.06,2.32,0.49,1.35,1.02,0.89,1.23,1.11,0.82
e_1,0.72,0.54,13.46,0.9,0.58,0.58,0.98,0.95,0.88,2.44,0.9,1.0,1.12,0.89,0.72,0.99
c_1,0.63,0.54,0.55,13.77,1.71,0.59,0.92,0.75,0.44,0.87,0.65,0.9,0.93,0.93,0.84,0.94
b_1,0.56,0.72,0.55,0.55,16.19,1.83,0.79,0.8,0.66,0.83,0.47,0.96,0.91,0.68,0.98,1.14
a_1,0.74,0.67,0.55,0.71,0.69,23.48,1.23,0.98,1.03,0.76,0.97,1.06,1.2,0.49,1.1,1.06
h_1,1.19,0.8,0.69,0.9,0.49,0.68,4.37,1.54,1.03,0.82,1.21,0.91,0.79,1.1,1.07,1.68
g_1,0.61,1.76,0.5,0.69,0.7,0.7,0.99,4.75,1.11,0.78,1.12,2.01,0.95,1.03,1.35,0.89
c_0,0.96,1.13,0.71,0.6,0.46,0.56,1.04,1.29,2.66,1.07,3.17,1.27,1.39,1.58,1.11,1.18
d_0,0.67,0.47,0.63,2.38,0.74,0.61,1.18,1.06,0.67,2.31,1.26,1.1,1.01,1.18,1.07,0.99
b_0,0.78,1.06,0.75,0.99,0.35,0.51,1.11,1.13,1.27,1.02,3.1,1.27,1.27,2.9,1.09,1.11
f_0,0.55,0.99,0.51,0.95,0.69,0.73,1.05,0.99,1.23,1.3,1.37,2.84,1.28,1.3,3.76,1.29
h_0,1.37,1.04,0.76,0.58,0.64,0.67,0.6,1.75,1.21,0.96,1.07,1.05,0.85,0.91,1.09,1.66
a_0,0.74,0.85,0.82,1.0,0.62,0.47,0.86,1.14,1.08,1.13,1.13,1.21,1.24,3.45,1.5,1.0
e_0,0.88,0.8,0.53,0.69,0.8,0.83,1.24,1.24,1.44,1.05,1.59,1.07,1.29,1.53,3.5,1.15
g_0,0.62,1.86,0.65,0.71,0.54,0.73,0.91,0.8,1.08,0.78,1.22,2.07,1.23,0.96,1.29,0.87
