,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.89,0.23,0.4,0.21,0.17,0.1,0.15,0.13,0.17,0.19,0.17,0.07,0.18,0.11,0.08,0.15
d_1,0.26,0.9,0.19,0.16,0.17,0.13,0.2,0.17,0.37,0.11,0.23,0.2,0.19,0.15,0.14,0.14
e_1,0.26,0.19,0.89,0.25,0.17,0.11,0.18,0.16,0.19,0.37,0.16,0.19,0.22,0.13,0.09,0.16
c_1,0.23,0.2,0.2,0.89,0.35,0.1,0.18,0.14,0.08,0.18,0.13,0.17,0.18,0.12,0.11,0.15
b_1,0.21,0.23,0.19,0.19,0.89,0.27,0.14,0.14,0.14,0.17,0.07,0.16,0.19,0.11,0.14,0.19
a_1,0.24,0.23,0.16,0.21,0.2,0.88,0.22,0.17,0.21,0.16,0.19,0.2,0.25,0.06,0.15,0.16
h_1,0.36,0.27,0.25,0.29,0.14,0.15,0.58,0.25,0.23,0.21,0.26,0.19,0.15,0.16,0.15,0.27
g_1,0.23,0.46,0.2,0.23,0.22,0.14,0.18,0.57,0.23,0.2,0.22,0.33,0.21,0.16,0.17,0.13
c_0,0.33,0.35,0.26,0.18,0.14,0.13,0.21,0.21,0.47,0.25,0.44,0.26,0.29,0.18,0.16,0.21
d_0,0.29,0.14,0.25,0.48,0.21,0.14,0.22,0.19,0.16,0.45,0.25,0.22,0.23,0.17,0.15,0.18
b_0,0.3,0.35,0.26,0.29,0.1,0.11,0.2,0.21,0.27,0.22,0.47,0.23,0.27,0.33,0.16,0.19
f_0,0.19,0.31,0.2,0.32,0.2,0.15,0.22,0.19,0.24,0.3,0.23,0.44,0.27,0.17,0.37,0.2
h_0,0.4,0.34,0.26,0.21,0.19,0.13,0.1,0.28,0.28,0.24,0.2,0.2,0.18,0.15,0.15,0.26
a_0,0.29,0.3,0.26,0.34,0.19,0.09,0.18,0.2,0.25,0.27,0.21,0.22,0.26,0.41,0.18,0.19
e_0,0.32,0.31,0.19,0.26,0.2,0.16,0.23,0.24,0.29,0.24,0.3,0.2,0.26,0.22,0.4,0.19
g_0,0.26,0.46,0.21,0.23,0.19,0.14,0.19,0.15,0.25,0.18,0.25,0.35,0.25,0.14,0.17,0.13
