,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.8,1.33,0.71,0.85,0.73,0.69,0.96,0.81,0.83,1.04,0.89,0.68,0.96,0.82,0.74,0.9
e_1,0.88,1.81,0.74,0.95,0.73,0.73,0.97,0.88,0.91,1.53,0.98,0.97,0.96,1.02,0.76,0.98
d_1,0.85,0.8,1.94,0.61,0.73,0.86,0.92,1.65,1.03,0.74,1.3,1.12,1.05,1.11,1.1,1.04
c_1,0.76,0.65,0.82,2.07,1.44,0.71,0.86,0.55,0.97,0.76,0.67,0.93,0.96,0.91,1.04,1.01
b_1,0.77,0.71,0.87,0.74,2.04,1.49,1.0,0.9,0.87,0.87,0.65,0.93,0.95,0.72,0.89,0.97
a_1,0.91,0.82,0.85,0.89,0.71,2.7,1.16,0.96,0.95,1.05,0.98,1.04,1.03,0.7,0.9,1.0
h_1,1.17,0.86,0.94,0.88,0.76,0.75,1.66,0.99,1.18,0.88,1.13,0.97,0.85,1.15,0.96,1.28
c_0,1.04,0.89,0.97,0.75,0.73,0.68,0.98,1.5,1.25,1.06,1.93,1.13,1.17,1.47,1.28,1.05
g_1,0.72,0.73,1.33,0.89,0.85,0.77,0.93,1.17,2.04,0.84,1.03,1.57,1.05,0.98,1.12,0.87
d_0,0.89,0.83,0.75,1.45,0.92,0.64,1.06,0.8,1.0,1.32,1.05,0.86,1.11,1.15,1.0,0.97
b_0,0.99,0.95,0.95,0.93,0.71,0.58,1.11,1.12,1.15,1.0,1.71,1.11,1.13,2.09,1.2,1.05
f_0,0.74,0.73,0.96,0.95,0.95,0.79,1.1,1.19,1.09,0.92,1.18,1.74,1.18,1.48,2.15,1.03
h_0,1.1,0.9,0.97,0.91,0.82,0.67,0.82,1.08,1.25,0.96,0.95,0.99,0.77,0.95,1.2,1.26
a_0,0.95,0.82,0.9,1.05,0.93,0.59,1.04,1.03,1.07,0.99,1.24,1.07,1.06,1.93,1.4,0.98
e_0,0.93,0.65,1.03,0.95,0.87,0.75,1.08,1.12,1.29,0.94,1.21,1.2,1.25,1.18,2.23,1.16
g_0,0.8,0.74,1.26,0.89,0.78,0.74,1.04,1.06,0.95,0.88,1.21,1.67,1.07,1.2,1.41,0.85
