,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,37.85,0.11,0.06,0.05,0.08,0.08,0.33,0.32,0.25,0.41,0.3,,0.49,0.42,0.33,0.62
e_1,0.08,38.23,0.05,0.07,0.05,0.07,0.32,0.4,0.19,0.69,0.37,0.31,0.59,0.22,,0.66
d_1,0.07,0.06,39.42,0.05,0.06,0.06,0.29,0.77,0.25,,0.45,0.45,0.63,0.29,0.36,0.58
c_1,0.05,0.06,0.05,44.98,0.15,0.06,0.33,,0.26,0.29,0.42,0.35,0.64,0.39,0.3,0.79
b_1,0.08,0.05,0.08,0.04,46.29,0.12,0.29,0.32,0.31,0.35,,0.28,0.75,0.4,0.43,0.6
a_1,0.06,0.07,0.07,0.06,0.05,67.25,0.34,0.38,0.22,0.43,0.25,0.48,0.67,,,0.59
h_1,0.36,0.29,0.23,0.3,0.19,0.36,26.52,1.22,1.49,1.05,1.55,1.19,,1.5,1.73,2.64
c_0,0.33,0.29,0.39,,0.33,0.31,1.4,16.68,1.33,1.81,3.73,2.05,3.67,2.22,2.74,2.18
g_1,0.25,0.26,0.58,0.29,0.31,0.25,0.77,1.66,34.71,0.65,1.06,1.99,1.34,1.6,,
d_0,0.44,0.38,,0.69,0.31,0.41,1.77,1.3,1.15,18.01,2.36,1.89,2.91,1.54,1.59,2.36
b_0,0.26,0.37,0.31,0.41,,0.26,1.56,1.88,1.44,1.81,19.5,2.16,3.85,4.68,1.7,2.34
f_0,,0.24,0.39,0.31,0.37,0.29,1.25,2.06,1.41,2.29,2.44,23.0,2.99,2.49,3.82,2.51
h_0,0.9,0.54,0.58,0.64,0.36,0.38,,3.04,4.0,3.9,1.68,2.55,,2.39,2.62,5.09
a_0,0.27,0.27,0.31,0.4,0.31,,1.52,2.25,1.8,2.04,1.56,1.4,4.58,25.85,3.13,3.02
e_0,0.3,,0.31,0.55,0.45,0.35,1.35,2.38,1.46,2.46,2.2,1.53,,,33.15,2.55
g_0,0.29,0.59,0.57,0.41,0.71,0.54,2.39,3.21,,3.43,3.4,6.16,4.33,1.99,,
