,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.24,0.9,0.99,0.97,0.92,0.82,0.86,1.14,1.0,0.9,0.84,0.79,0.84,0.95,1.12
e_1,0.81,1.0,0.97,1.29,0.97,0.99,1.07,0.97,1.0,1.29,1.02,1.22,1.05,0.99,1.16,1.09
d_1,1.1,1.03,1.0,0.85,0.93,1.01,0.99,1.33,0.8,1.08,1.13,1.04,1.04,1.06,1.12,0.84
c_1,1.01,0.78,1.18,1.0,1.61,0.79,0.94,0.73,1.01,0.63,0.82,0.89,0.98,0.95,0.88,1.0
b_1,1.04,1.02,1.08,0.62,1.0,1.55,1.21,1.07,1.0,1.06,0.97,0.97,1.09,0.86,0.92,1.1
a_1,1.09,1.01,0.98,1.26,0.66,1.0,1.12,0.97,1.02,1.23,1.19,1.15,1.24,1.36,0.96,1.08
h_1,1.17,0.94,1.0,1.07,0.86,0.87,1.0,0.96,1.2,0.89,0.98,0.9,1.0,1.03,0.95,1.12
c_0,1.13,1.04,0.76,1.51,0.92,0.92,1.01,1.0,1.09,1.13,1.39,0.99,1.07,1.2,0.95,0.99
g_1,0.86,1.0,1.24,0.98,1.01,0.97,0.83,0.95,1.0,0.91,0.91,1.2,0.85,0.89,0.8,0.88
d_0,0.97,0.78,0.97,1.52,0.97,0.82,1.16,0.91,1.11,1.0,1.04,0.89,1.08,1.05,1.01,0.9
b_0,1.12,0.99,0.89,1.2,1.04,0.84,1.03,0.74,1.11,0.95,1.0,0.96,1.1,1.46,0.98,0.85
f_0,1.13,0.84,0.96,1.07,1.0,0.91,1.15,1.0,0.8,1.07,1.02,1.0,1.12,1.14,1.52,0.77
h_0,1.17,0.95,1.0,1.04,0.92,0.78,1.01,0.93,1.19,0.93,0.91,0.92,1.0,0.88,1.04,1.18
a_0,1.19,0.99,0.92,1.11,1.14,0.8,0.98,0.88,1.19,0.99,0.74,0.93,1.12,1.0,1.03,1.03
e_0,1.08,0.91,0.94,1.09,1.03,1.0,1.11,1.0,1.29,1.0,1.06,0.68,1.02,0.95,1.0,0.98
g_0,0.89,0.92,1.24,1.02,0.92,0.88,0.88,0.98,1.12,1.06,1.13,1.35,0.88,1.0,1.04,1.0
