,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.47,1.31,1.29,1.78,3.41,17.45,31.47,38.5,38.43,42.51,55.78,68.16,83.3,115.99,142.62
e_1,0.68,1.0,1.28,1.3,1.64,3.66,19.75,46.21,36.5,38.61,38.77,66.65,70.95,76.2,165.96,117.58
c_1,0.76,0.78,1.0,1.18,1.94,2.54,13.83,16.58,23.5,19.9,29.67,41.31,62.22,57.82,71.39,86.58
d_1,0.77,0.77,0.86,1.0,1.13,2.47,13.09,23.66,22.31,30.98,33.62,37.54,61.07,61.5,58.78,74.38
b_1,0.56,0.61,0.52,0.88,1.0,2.68,12.8,16.93,17.63,18.83,21.63,33.43,47.41,39.14,53.39,76.47
a_1,0.29,0.27,0.4,0.41,0.37,1.0,6.53,9.86,11.27,11.65,13.73,22.84,22.56,28.59,35.96,30.45
h_1,0.06,0.05,0.07,0.08,0.08,0.16,1.0,1.67,2.23,1.74,2.39,2.75,3.76,4.09,6.3,6.75
d_0,0.03,0.02,0.06,0.04,0.06,0.11,0.6,1.0,1.37,1.03,1.42,1.82,2.91,2.63,3.84,3.72
g_1,0.03,0.03,0.04,0.05,0.06,0.09,0.45,0.78,1.0,0.85,1.19,2.17,2.0,2.58,2.93,3.09
c_0,0.02,0.03,0.05,0.03,0.05,0.09,0.55,0.96,1.16,1.0,1.83,1.69,2.68,2.5,3.14,3.44
b_0,0.02,0.03,0.04,0.03,0.05,0.07,0.45,0.74,0.81,0.54,1.0,1.46,1.94,3.3,3.03,2.92
f_0,0.02,0.02,0.02,0.03,0.03,0.04,0.36,0.55,0.45,0.61,0.67,1.0,1.58,1.79,3.24,1.38
h_0,0.02,0.01,0.02,0.02,0.02,0.04,0.26,0.36,0.51,0.38,0.54,0.65,1.0,0.99,1.34,1.85
a_0,0.01,0.01,0.02,0.02,0.03,0.04,0.25,0.38,0.38,0.4,0.3,0.61,1.0,1.0,1.41,1.5
e_0,0.01,0.01,0.02,0.02,0.02,0.03,0.16,0.25,0.36,0.34,0.35,0.31,0.75,0.71,1.01,0.91
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.25,0.32,0.32,0.34,0.7,0.54,0.66,1.02,1.0
