,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.12,3.77,3.85,4.3,4.09,4.04,0.75,1.33,0.89,0.76,0.66,1.74,0.45,0.73,0.72,0.7
e_1,2.47,1.12,4.91,5.03,4.24,3.88,1.72,1.25,0.91,0.91,0.94,1.31,0.75,0.92,1.56,0.84
d_1,5.08,6.16,1.11,4.52,4.93,4.46,1.23,0.8,2.04,0.96,0.89,0.89,0.64,0.98,1.05,0.4
c_1,5.69,4.15,6.5,1.12,5.08,4.94,1.73,1.57,0.56,1.83,1.14,0.9,0.66,1.05,1.04,0.7
b_1,7.21,5.21,5.9,2.84,1.14,5.91,1.66,2.19,1.32,1.56,3.59,1.18,1.07,1.31,1.49,0.88
a_1,10.29,9.31,9.05,10.43,3.82,1.14,2.54,2.37,2.05,1.83,2.11,1.58,1.35,3.74,1.77,1.63
h_1,14.33,15.62,11.12,14.69,14.91,12.89,1.74,4.56,3.26,2.79,2.67,2.74,3.11,2.85,2.38,2.22
g_1,19.63,18.53,15.5,20.17,19.96,20.52,3.85,1.75,4.16,3.56,3.2,3.25,1.78,3.14,2.93,2.74
d_0,19.33,9.7,33.69,24.4,25.45,19.88,7.42,7.98,2.28,3.29,3.92,3.82,3.05,3.97,3.77,3.72
c_0,21.62,19.51,11.12,45.85,21.67,18.71,6.74,6.5,6.43,2.36,4.07,4.41,3.09,4.42,3.73,2.83
b_0,20.8,22.62,19.42,30.88,42.03,22.45,5.82,7.63,4.48,2.41,2.34,4.06,3.16,4.32,3.24,3.2
f_0,40.28,24.42,21.3,25.22,26.42,24.15,7.24,4.44,4.99,4.19,4.46,2.11,3.78,5.46,3.65,2.09
h_0,28.56,24.91,24.1,29.96,34.25,23.85,13.28,8.26,5.95,5.4,5.48,5.25,5.59,5.31,4.99,3.8
a_0,30.37,31.51,27.07,32.54,63.05,50.21,7.67,10.48,5.74,4.89,3.27,6.27,4.97,2.37,7.1,4.68
e_0,44.5,49.82,27.52,36.46,31.17,25.44,10.6,7.98,8.43,6.22,6.91,3.29,4.42,7.28,2.43,5.34
g_0,35.77,38.01,32.37,42.62,41.4,31.28,7.74,14.63,8.11,6.29,7.0,7.43,4.21,9.59,7.24,5.9
