,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,92.93,76.68,65.52,83.29,97.55,309.31,6131.19,12328.04,19323.35,21789.41,32293.91,25363.11,71050.89,93818.97,90816.48,167550.69
e_1,39.95,101.87,56.88,107.53,121.07,308.06,6263.46,12444.8,32891.68,24107.38,34687.51,46768.42,81735.59,90310.39,81094.72,179150.1
d_1,40.7,41.26,134.39,68.27,98.63,283.04,6822.01,11165.2,11407.46,30658.26,30640.91,36081.48,72102.82,88559.34,103194.89,132248.23
c_1,35.86,32.17,61.07,166.84,153.8,220.69,5821.07,10990.88,12110.29,7760.15,22415.35,30617.03,62291.24,72183.93,87212.14,115913.27
b_1,33.62,34.72,50.37,56.78,206.62,491.59,4421.52,10598.1,12099.69,16328.27,13985.28,25828.73,50559.96,42730.8,82249.49,107291.52
a_1,23.22,27.39,38.86,50.43,46.07,524.68,3637.96,5559.09,10327.59,13460.93,16385.65,16276.6,44150.19,22781.81,65958.67,101421.97
h_1,15.95,10.19,17.64,20.79,30.44,85.29,2817.61,4659.08,4034.62,5634.64,8930.9,8398.98,12535.3,22036.69,26281.15,56080.56
g_1,8.16,9.84,19.99,18.16,19.9,82.33,1135.81,5100.41,2975.35,4241.4,5467.76,10277.59,13169.3,15105.39,25402.38,25236.95
d_0,8.45,8.02,9.32,30.92,21.87,59.61,1342.87,2669.45,5368.82,3179.04,6380.22,6796.57,14476.17,17829.8,17604.49,34159.76
c_0,8.68,8.25,11.96,13.72,18.09,62.8,1372.38,2580.38,4353.91,6024.01,10078.25,8423.23,13858.53,19695.32,20855.94,34202.49
b_0,8.36,7.58,12.28,15.31,9.59,48.92,1100.13,2678.3,3040.02,3441.76,7853.1,6676.1,12609.84,25526.08,16042.18,27139.47
f_0,4.7,5.89,11.47,15.74,17.64,64.46,1266.0,2240.81,3355.49,3552.25,5367.86,9519.39,12725.63,15997.61,29861.29,24247.06
h_0,7.27,5.53,9.17,13.31,14.21,41.09,710.59,2483.53,2430.46,2907.29,3967.38,4677.15,8070.98,11734.36,14387.64,25349.25
a_0,5.54,5.5,8.15,11.03,15.15,29.73,738.43,2043.09,2185.44,2346.14,3096.86,4192.3,9639.15,18391.24,11342.15,17008.92
e_0,6.02,3.79,6.98,10.32,10.53,41.05,786.34,1810.24,2327.86,2922.81,4201.85,4235.04,9698.15,9294.64,21238.17,19431.93
g_0,3.86,3.73,10.23,10.03,11.75,29.35,562.86,1426.07,1709.71,2150.92,3281.86,5337.97,7735.73,8844.27,9994.52,14456.88
