,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,2.01,0.81,0.68,0.93,0.74,0.68,0.95,0.91,1.56,0.85,0.95,0.99,0.96,0.9,0.98,0.78
f_1,1.31,2.05,0.69,0.76,0.6,0.57,0.93,0.88,1.0,0.85,0.98,0.58,0.83,0.89,0.94,0.68
d_1,0.68,0.82,2.31,0.56,0.75,0.7,0.99,1.07,0.64,1.76,1.26,1.21,1.07,0.95,1.0,1.0
c_1,0.68,0.72,0.78,2.23,1.28,0.78,0.86,0.9,0.88,0.58,0.64,0.83,0.94,0.99,0.95,0.9
b_1,0.72,0.75,0.75,0.77,2.43,1.33,0.86,0.79,0.85,1.0,0.66,0.87,1.03,0.95,0.76,1.12
a_1,0.69,0.81,0.74,0.83,0.78,3.45,1.08,1.07,0.91,0.72,0.98,0.96,1.1,1.07,0.66,0.99
h_1,0.79,1.04,0.88,0.85,0.73,0.72,2.02,1.28,0.9,0.98,1.12,1.27,0.81,1.45,1.17,1.24
g_1,0.74,0.74,1.35,0.77,0.74,0.78,1.01,2.4,0.69,1.06,1.07,1.68,1.11,0.9,1.14,1.36
d_0,0.76,0.94,0.6,1.47,0.78,0.72,0.97,0.94,1.59,0.75,0.98,1.03,1.13,1.04,1.07,1.2
c_0,0.86,0.88,0.96,0.7,0.64,0.73,1.18,1.04,1.08,1.79,2.1,1.24,1.07,1.23,1.34,1.09
b_0,0.78,0.92,1.01,0.92,0.68,0.7,1.12,1.03,0.97,0.98,1.96,1.06,1.16,1.28,2.27,1.14
f_0,0.65,0.65,1.03,0.91,0.79,1.01,1.0,1.12,1.06,1.19,1.18,2.11,1.24,1.35,1.24,2.35
h_0,0.78,1.25,0.87,0.81,0.73,0.71,0.85,1.29,0.96,1.0,0.99,1.01,0.89,1.31,1.04,0.99
g_0,0.68,0.82,1.45,0.87,0.71,0.67,1.06,0.86,0.87,0.98,1.11,1.63,1.11,0.81,0.92,1.04
a_0,0.86,0.95,0.81,1.0,0.79,0.65,1.1,0.92,1.05,1.15,1.15,1.14,1.28,1.07,2.41,1.11
e_0,0.54,0.86,1.01,0.99,0.75,0.95,1.24,1.04,1.01,1.02,1.15,1.32,1.19,1.25,1.14,2.54
