,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.89,0.25,0.19,0.25,0.19,0.11,0.22,0.15,0.35,0.15,0.16,0.16,0.19,0.14,0.1,0.08
f_1,0.42,0.89,0.18,0.2,0.14,0.11,0.2,0.15,0.22,0.18,0.17,0.08,0.16,0.13,0.09,0.08
d_1,0.21,0.25,0.9,0.15,0.19,0.12,0.21,0.18,0.11,0.35,0.19,0.18,0.22,0.16,0.11,0.11
c_1,0.22,0.22,0.22,0.89,0.33,0.12,0.19,0.15,0.18,0.09,0.1,0.14,0.2,0.16,0.12,0.1
b_1,0.22,0.23,0.21,0.21,0.89,0.23,0.16,0.13,0.2,0.19,0.09,0.16,0.21,0.16,0.09,0.12
a_1,0.22,0.24,0.19,0.24,0.2,0.88,0.22,0.18,0.19,0.13,0.17,0.16,0.21,0.15,0.06,0.11
h_1,0.25,0.36,0.27,0.26,0.21,0.12,0.58,0.26,0.2,0.21,0.21,0.24,0.16,0.27,0.15,0.15
g_1,0.26,0.25,0.41,0.25,0.18,0.13,0.25,0.56,0.17,0.23,0.2,0.33,0.22,0.14,0.15,0.14
d_0,0.27,0.31,0.15,0.49,0.23,0.13,0.24,0.19,0.44,0.16,0.21,0.22,0.24,0.19,0.14,0.14
c_0,0.32,0.27,0.3,0.19,0.17,0.16,0.29,0.22,0.27,0.45,0.42,0.23,0.23,0.25,0.18,0.13
b_0,0.26,0.33,0.3,0.29,0.17,0.13,0.28,0.2,0.25,0.2,0.43,0.19,0.26,0.24,0.31,0.14
f_0,0.21,0.19,0.3,0.29,0.23,0.18,0.23,0.22,0.25,0.26,0.22,0.44,0.27,0.26,0.17,0.31
h_0,0.27,0.45,0.25,0.25,0.2,0.14,0.18,0.25,0.23,0.21,0.19,0.17,0.18,0.26,0.14,0.12
g_0,0.24,0.25,0.44,0.27,0.22,0.14,0.24,0.13,0.21,0.19,0.2,0.3,0.24,0.13,0.11,0.11
a_0,0.29,0.32,0.24,0.29,0.22,0.1,0.27,0.18,0.26,0.27,0.23,0.21,0.29,0.21,0.39,0.12
e_0,0.13,0.28,0.29,0.31,0.23,0.16,0.32,0.21,0.25,0.24,0.22,0.24,0.25,0.24,0.15,0.37
