,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.82,1.26,1.53,1.72,3.46,20.74,30.63,38.68,29.65,52.44,55.11,76.88,116.76,109.57,161.79
f_1,1.21,1.0,1.04,1.28,1.35,3.16,14.81,27.11,27.23,36.47,48.68,45.49,52.21,100.92,96.52,108.42
d_1,0.8,0.96,1.0,0.89,1.3,2.87,13.67,19.36,27.84,35.81,42.83,39.26,65.36,70.41,91.54,100.01
c_1,0.65,0.79,1.12,1.0,1.58,2.42,13.37,19.92,15.09,22.95,26.48,34.85,58.19,88.41,83.58,81.33
b_1,0.58,0.74,0.77,0.64,1.0,2.87,9.65,18.69,17.61,29.17,32.99,33.97,51.85,73.52,71.99,83.62
a_1,0.29,0.32,0.35,0.41,0.34,1.0,5.7,9.67,8.28,7.88,15.25,13.95,21.14,32.54,30.35,32.0
h_1,0.05,0.07,0.07,0.08,0.09,0.17,1.0,1.77,1.49,1.82,2.73,3.44,4.15,7.62,6.44,6.87
g_1,0.03,0.04,0.05,0.05,0.05,0.11,0.58,1.0,0.83,1.19,1.61,2.28,2.29,4.15,4.55,4.67
d_0,0.03,0.04,0.04,0.07,0.06,0.12,0.67,1.16,1.0,1.01,1.84,1.94,2.69,4.06,3.94,4.66
c_0,0.03,0.03,0.03,0.04,0.03,0.12,0.57,0.83,0.99,1.0,2.45,1.54,2.15,3.8,3.21,3.26
b_0,0.02,0.02,0.02,0.04,0.03,0.07,0.37,0.63,0.54,0.45,1.0,0.98,1.57,2.47,3.13,2.45
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.28,0.45,0.55,0.66,1.09,1.0,1.71,2.16,2.7,3.55
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.24,0.46,0.38,0.49,0.64,0.59,1.0,1.84,1.46,1.59
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.24,0.24,0.26,0.42,0.49,0.56,0.99,0.9,0.94
a_0,0.01,0.01,0.01,0.01,0.01,0.04,0.15,0.22,0.25,0.32,0.32,0.38,0.71,1.13,1.0,0.98
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.22,0.23,0.29,0.4,0.29,0.64,0.99,1.0,1.0
