,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.14,6.06,13.02,13.19,11.58,10.89,3.36,3.54,2.62,2.1,2.09,2.89,2.33,1.58,6.16,1.51
f_1,9.95,1.14,12.57,13.3,11.04,10.73,2.49,3.67,2.38,2.75,2.36,10.53,2.5,1.09,2.04,2.19
c_1,11.88,10.57,1.14,15.29,11.92,12.57,4.82,3.48,1.38,2.59,10.84,2.47,2.22,1.63,2.59,2.03
d_1,13.02,15.04,13.08,1.14,14.3,12.71,2.91,2.09,14.35,2.28,2.58,2.43,2.29,1.68,2.49,1.03
b_1,16.24,14.84,8.03,13.25,1.15,15.71,3.74,4.64,2.72,13.5,3.55,2.22,2.84,2.03,3.36,3.2
a_1,15.05,23.35,20.19,18.62,9.47,1.15,6.62,5.97,4.26,5.89,3.96,5.26,16.04,3.13,4.09,2.66
h_1,31.65,37.94,26.92,21.39,24.87,19.29,1.9,8.27,7.33,4.95,4.75,5.42,6.22,11.39,5.15,4.85
g_1,38.24,35.9,32.63,26.61,44.69,31.41,6.84,1.87,7.95,7.45,6.79,6.63,8.69,3.94,7.09,12.46
d_0,19.22,31.5,34.73,65.96,43.33,34.36,11.27,13.19,2.63,8.88,6.24,7.16,6.62,5.94,7.23,6.71
b_0,34.63,32.74,42.5,23.98,130.0,37.91,8.97,9.94,6.6,2.56,3.43,6.97,7.07,5.19,5.45,4.26
c_0,38.64,34.07,161.5,17.69,36.67,48.87,12.26,11.43,10.0,6.35,2.73,8.14,6.95,7.32,7.67,5.29
f_0,48.3,208.69,29.91,35.57,46.13,48.87,13.03,7.3,8.68,6.48,7.54,2.46,8.02,7.19,6.16,3.46
a_0,48.3,68.14,46.14,60.88,60.85,87.96,14.14,27.44,12.0,4.56,7.54,9.59,2.78,7.07,6.96,6.58
h_0,58.27,49.1,51.27,62.08,44.69,47.8,39.71,16.73,10.0,10.12,9.66,11.19,8.87,31.54,7.52,7.76
e_0,159.61,71.04,56.67,43.97,66.51,54.98,10.83,16.33,11.19,10.98,10.13,5.65,13.03,10.0,2.83,7.76
g_0,55.62,83.48,57.68,77.22,52.96,66.64,14.38,42.88,15.35,10.8,12.87,11.93,10.42,8.54,11.39,17.45
