,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.98,1.54,1.43,1.56,2.99,19.39,28.46,43.04,31.08,33.73,49.99,80.24,79.55,87.42,114.6
f_1,1.02,1.0,1.13,1.06,1.24,1.98,11.8,23.94,24.85,27.55,28.02,34.2,59.08,56.7,65.88,97.05
c_1,0.65,0.88,1.0,1.05,1.82,2.03,16.93,22.9,17.43,21.17,21.25,38.17,59.79,61.08,70.62,91.5
d_1,0.7,0.95,0.94,1.0,1.26,1.94,15.39,18.63,28.13,25.29,33.09,35.13,53.95,53.33,74.5,60.39
b_1,0.65,0.8,0.56,0.79,1.0,2.48,11.68,17.2,16.37,19.26,24.41,24.76,39.57,56.61,58.53,79.68
a_1,0.34,0.5,0.49,0.52,0.4,1.0,9.73,12.89,11.87,13.18,12.3,18.12,34.36,33.87,38.39,42.75
h_1,0.05,0.09,0.06,0.06,0.09,0.1,1.0,1.71,1.56,1.57,1.81,2.16,4.14,4.29,5.35,7.13
g_1,0.04,0.04,0.04,0.05,0.06,0.07,0.58,1.0,0.99,1.09,1.14,1.99,2.5,2.32,3.65,4.14
d_0,0.02,0.04,0.06,0.04,0.06,0.08,0.63,0.98,1.0,1.12,0.89,1.55,2.49,3.01,3.34,3.61
b_0,0.03,0.04,0.05,0.04,0.05,0.07,0.62,0.89,0.89,1.0,0.89,1.5,3.54,2.78,2.98,3.14
c_0,0.03,0.04,0.05,0.03,0.04,0.08,0.55,0.82,1.14,1.14,1.0,1.41,2.26,2.52,2.9,3.16
f_0,0.02,0.03,0.03,0.03,0.04,0.06,0.44,0.5,0.64,0.67,0.71,0.99,1.81,1.86,2.87,1.81
a_0,0.01,0.02,0.02,0.02,0.03,0.03,0.24,0.41,0.42,0.3,0.4,0.54,1.0,1.17,1.11,1.6
h_0,0.01,0.02,0.02,0.02,0.02,0.03,0.24,0.43,0.33,0.36,0.4,0.55,0.9,1.0,1.0,1.54
e_0,0.01,0.02,0.01,0.01,0.02,0.02,0.18,0.25,0.31,0.36,0.36,0.36,0.95,1.01,1.0,1.23
g_0,0.01,0.01,0.01,0.02,0.01,0.02,0.14,0.24,0.28,0.31,0.31,0.53,0.65,0.65,0.8,1.0
