,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.96,0.71,1.24,0.71,0.65,0.65,0.81,0.83,0.88,0.99,0.92,0.59,0.92,0.9,0.69,0.78
d_1,0.84,2.15,0.7,0.64,0.7,0.66,1.01,0.98,1.72,0.54,1.26,0.99,0.96,0.98,1.07,0.98
e_1,0.82,0.63,2.13,0.89,0.72,0.69,1.0,0.93,0.9,1.7,1.0,0.96,1.03,1.04,0.71,1.02
c_1,0.69,0.73,0.66,2.35,1.37,0.75,0.81,0.88,0.53,0.94,0.74,1.06,0.95,0.94,0.97,1.04
b_1,0.76,0.86,0.65,0.78,2.55,1.42,0.98,0.82,0.85,0.95,0.58,0.97,0.96,0.8,0.95,0.96
a_1,0.84,0.89,0.73,0.82,0.7,3.47,0.9,1.05,0.88,0.8,1.1,0.98,1.21,0.54,1.07,0.92
h_1,1.09,0.94,0.69,0.86,0.71,0.63,2.14,1.44,0.93,0.86,0.85,1.13,0.85,0.96,1.09,1.38
g_1,0.72,1.34,0.75,0.87,0.77,0.67,1.1,2.41,1.01,0.77,0.97,1.6,1.01,1.25,1.21,0.91
c_0,0.96,0.92,0.84,0.61,0.62,0.85,1.2,1.08,1.72,0.88,1.98,1.02,1.15,1.39,1.22,1.25
d_0,0.89,0.5,0.78,1.6,0.88,0.7,1.02,0.98,0.55,1.72,0.91,1.11,0.95,1.12,1.12,0.95
b_0,0.9,0.86,0.92,0.85,0.64,0.7,1.15,1.23,1.11,1.11,1.83,1.08,1.1,2.26,1.19,1.14
f_0,0.67,0.97,0.69,1.0,0.76,0.75,1.26,1.1,1.1,0.89,1.13,2.17,1.29,1.2,2.27,1.27
h_0,1.1,0.88,0.87,0.84,0.83,0.78,0.8,1.35,0.91,0.93,1.09,1.0,0.8,1.11,1.09,1.5
a_0,0.92,0.88,0.87,0.85,0.76,0.54,1.25,1.08,1.14,0.99,1.05,1.2,1.24,2.26,1.14,1.24
e_0,0.9,0.94,0.51,0.96,0.83,0.79,1.23,1.03,1.1,0.96,1.07,1.12,1.05,0.97,2.62,1.24
g_0,0.86,1.34,0.61,0.68,0.83,0.76,1.12,0.84,1.11,0.66,1.08,1.68,1.03,1.21,1.31,0.87
