,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.19,1.47,1.62,1.97,3.63,17.68,28.64,29.14,35.26,37.02,45.58,53.02,68.08,94.12,103.77
d_1,0.84,1.0,1.13,1.39,1.67,3.02,18.41,20.3,36.23,34.99,48.14,45.57,62.0,80.6,84.26,72.02
e_1,0.68,0.88,1.0,1.41,1.62,2.9,18.88,25.55,28.06,42.5,39.68,49.55,62.53,66.31,105.63,139.31
c_1,0.62,0.72,0.71,1.0,1.96,2.43,12.11,18.9,18.12,17.2,28.86,35.35,43.15,52.38,61.45,88.46
b_1,0.51,0.6,0.62,0.51,1.0,3.09,13.08,12.46,17.94,22.06,14.66,34.64,32.1,50.07,49.64,56.16
a_1,0.28,0.33,0.35,0.41,0.32,1.0,7.11,9.5,8.1,9.15,12.83,16.16,21.58,33.73,25.85,32.55
h_1,0.06,0.05,0.05,0.08,0.07,0.14,1.0,1.55,1.39,1.53,1.77,2.35,2.98,3.46,4.22,5.34
g_1,0.03,0.05,0.04,0.05,0.07,0.11,0.66,1.0,0.96,1.15,1.44,1.98,1.84,3.5,2.91,3.91
c_0,0.04,0.03,0.04,0.06,0.06,0.12,0.71,1.08,1.0,1.24,2.05,1.69,2.51,3.21,3.34,3.58
d_0,0.03,0.03,0.02,0.06,0.05,0.11,0.65,0.94,0.78,1.0,1.18,1.76,1.74,2.14,2.66,3.1
b_0,0.03,0.02,0.02,0.04,0.06,0.08,0.52,0.7,0.51,0.85,1.0,1.13,1.53,2.64,2.06,2.47
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.43,0.47,0.57,0.6,0.86,1.0,1.43,1.64,2.46,1.61
h_0,0.02,0.02,0.02,0.02,0.03,0.05,0.32,0.54,0.38,0.54,0.69,0.74,1.0,1.2,1.63,1.97
a_0,0.01,0.01,0.01,0.02,0.02,,0.3,0.31,0.31,0.47,0.38,0.65,0.84,1.0,1.37,1.48
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.24,0.33,0.31,0.34,0.49,0.4,0.63,0.69,1.0,1.15
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.27,0.29,0.31,0.4,0.61,0.51,0.69,0.85,1.0
