,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,11.15,0.52,0.65,1.13,0.69,0.71,1.0,0.76,2.51,0.83,1.1,0.99,0.9,0.91,0.79,0.88
d_1,0.62,12.77,0.81,0.53,0.6,0.73,1.05,0.95,0.57,2.42,1.28,1.11,0.88,1.19,1.05,1.05
f_1,1.81,0.57,10.39,0.64,0.56,0.62,0.73,0.82,0.92,0.88,0.97,0.71,1.09,0.95,0.78,1.07
c_1,0.65,0.76,0.7,11.18,1.91,0.55,0.88,0.82,0.73,0.52,0.53,0.65,0.94,0.88,0.84,0.93
b_1,0.62,0.71,0.7,0.63,11.44,1.84,1.11,0.96,0.91,0.83,0.49,0.88,0.96,0.63,0.81,0.91
a_1,0.6,0.89,0.73,0.74,0.68,17.76,0.85,1.16,0.9,1.04,1.19,1.13,1.02,0.79,1.04,0.95
h_1,0.65,0.9,1.32,0.77,0.62,0.8,3.17,1.62,0.92,0.95,1.13,1.02,0.88,0.95,1.08,1.4
g_1,0.61,1.86,0.68,0.74,0.67,0.68,0.86,3.52,0.69,1.19,1.1,1.9,1.12,1.07,1.26,0.76
d_0,0.68,0.58,0.78,2.75,0.82,0.6,0.96,1.16,1.87,0.6,1.04,1.04,1.17,0.97,1.07,0.95
c_0,0.72,0.93,0.82,0.56,0.56,0.81,1.18,1.19,0.99,2.04,3.87,1.51,1.19,1.54,1.4,1.07
b_0,0.58,0.94,0.87,0.86,0.61,0.78,1.09,1.23,1.02,0.99,2.51,1.62,1.2,2.85,1.3,1.23
f_0,0.55,1.03,0.7,0.97,0.7,0.71,1.41,1.37,1.22,0.96,1.07,2.61,1.3,1.18,3.72,1.06
h_0,0.69,1.03,1.53,0.79,0.8,0.57,0.7,1.31,0.94,0.94,1.1,0.91,0.8,1.2,1.15,1.57
a_0,0.78,0.74,0.89,0.9,0.87,0.43,1.25,1.33,0.98,0.97,1.41,1.37,1.33,2.7,1.17,1.18
e_0,0.58,1.19,0.97,0.91,0.76,0.51,1.27,1.05,1.05,1.05,1.21,1.06,1.48,1.28,3.14,1.27
g_0,0.59,1.49,0.82,0.81,0.74,0.72,1.16,0.82,0.87,1.1,1.16,1.96,1.44,1.27,1.6,1.01
