,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.95,0.46,0.49,0.65,0.51,0.39,0.39,0.34,0.59,0.36,0.38,0.33,0.31,0.26,0.22,0.25
d_1,0.59,0.95,0.63,0.45,0.48,0.38,0.39,0.32,0.27,0.52,0.38,0.32,0.27,0.29,0.23,0.25
f_1,0.86,0.49,0.95,0.52,0.48,0.35,0.28,0.32,0.34,0.34,0.33,0.26,0.3,0.25,0.19,0.28
c_1,0.52,0.63,0.61,0.95,0.81,0.31,0.33,0.34,0.29,0.25,0.24,0.24,0.31,0.25,0.22,0.24
b_1,0.56,0.58,0.6,0.47,0.95,0.66,0.45,0.37,0.37,0.37,0.24,0.3,0.3,0.2,0.22,0.26
a_1,0.62,0.73,0.68,0.67,0.48,0.94,0.43,0.48,0.42,0.42,0.44,0.4,0.39,0.23,0.28,0.3
h_1,0.78,0.83,1.12,0.84,0.63,0.57,0.78,0.67,0.51,0.52,0.54,0.45,0.43,0.35,0.32,0.46
g_1,0.8,1.19,0.84,0.79,0.71,0.5,0.49,0.78,0.45,0.57,0.49,0.63,0.44,0.35,0.37,0.31
d_0,0.72,0.82,0.92,1.38,0.79,0.51,0.6,0.61,0.7,0.46,0.54,0.47,0.49,0.38,0.38,0.38
c_0,0.87,0.85,0.94,0.77,0.68,0.61,0.61,0.57,0.58,0.71,0.9,0.61,0.53,0.46,0.42,0.41
b_0,0.77,0.92,0.94,1.0,0.77,0.57,0.58,0.63,0.56,0.46,0.72,0.58,0.49,0.65,0.41,0.41
f_0,0.79,1.01,0.93,1.06,0.76,0.57,0.68,0.59,0.63,0.55,0.54,0.71,0.57,0.4,0.72,0.38
h_0,0.94,1.16,1.32,0.97,0.85,0.55,0.52,0.72,0.62,0.58,0.62,0.51,0.47,0.46,0.41,0.54
a_0,1.02,0.99,1.07,1.01,1.03,0.53,0.76,0.75,0.62,0.59,0.57,0.67,0.6,0.65,0.46,0.45
e_0,0.84,1.22,1.27,1.07,0.87,0.56,0.75,0.61,0.67,0.69,0.67,0.49,0.66,0.48,0.65,0.48
g_0,0.98,1.41,1.03,1.04,0.88,0.73,0.63,0.64,0.65,0.66,0.66,0.81,0.58,0.52,0.52,0.44
