,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.78,0.47,0.77,0.83,0.77,0.23,0.27,0.19,0.15,0.19,0.19,0.16,0.18,0.46,0.13
d_1,0.99,0.16,0.87,0.79,0.74,0.63,0.26,0.14,0.38,0.14,0.15,0.13,0.09,0.17,0.13,0.08
f_1,0.75,0.7,0.16,0.67,0.79,0.88,0.15,0.23,0.14,0.14,0.14,0.35,0.08,0.16,0.12,0.13
c_1,0.64,0.98,0.71,0.15,0.81,0.79,0.22,0.21,0.09,0.33,0.15,0.15,0.11,0.12,0.14,0.09
b_1,0.75,0.81,0.8,0.43,0.14,0.86,0.31,0.24,0.19,0.21,0.39,0.2,0.12,0.15,0.18,0.13
a_1,0.79,0.85,0.89,1.16,0.37,0.1,0.19,0.3,0.19,0.18,0.2,0.14,0.16,0.33,0.21,0.12
h_1,0.61,0.58,0.76,0.68,0.52,0.59,0.06,0.16,0.14,0.12,0.13,0.13,0.15,0.1,0.1,0.09
g_1,0.72,0.61,0.69,0.64,0.61,0.53,0.14,0.06,0.14,0.12,0.14,0.13,0.07,0.11,0.14,0.2
d_0,0.31,1.26,0.67,0.61,0.74,0.6,0.17,0.24,0.07,0.15,0.15,0.13,0.09,0.13,0.12,0.1
c_0,0.6,0.33,0.61,1.56,0.73,0.69,0.18,0.15,0.18,0.07,0.13,0.15,0.1,0.14,0.12,0.09
b_0,0.55,0.48,0.65,1.02,1.56,0.55,0.16,0.18,0.13,0.06,0.06,0.12,0.09,0.1,0.11,0.08
f_0,0.61,0.54,0.99,0.76,0.72,0.4,0.18,0.11,0.14,0.12,0.13,0.05,0.09,0.09,0.1,0.05
h_0,0.6,0.68,0.55,0.6,0.63,0.49,0.26,0.17,0.12,0.12,0.12,0.1,0.14,0.1,0.09,0.08
a_0,0.58,0.5,0.58,0.6,0.99,1.26,0.18,0.22,0.14,0.11,0.06,0.12,0.1,0.04,0.11,0.07
e_0,1.02,0.59,0.75,0.59,0.75,0.64,0.18,0.14,0.12,0.11,0.13,0.05,0.08,0.1,0.04,0.08
g_0,0.66,0.56,0.57,0.64,0.65,0.48,0.13,0.29,0.15,0.13,0.14,0.12,0.06,0.11,0.11,0.14
